Region,Site,Layer/Assemblage/Context,Culture,Lab code,ProjCode,date,error,Material,Species,Marine?,ΔR,ΔR error,% marine,Cal. BC 1 sigma,Cal. BC 1 sigma,Cal. BC 2 sigma,Cal. BC 2 sigma,Latitude,Longitude,Notes,reference
Northern Italy,Colbricon,,Mesolithic,R-895,167,"9,370",90,Charcoal,,,,,,,,,,11.801867,46.262864,,Skeates 1994
Central Italy,Colle Cera,,Neolithic,LTL-5001A,168,"6,158",90,Unknown,,,,,,,,,,13.999607,42.441780,,Colombo 2014
Central Italy,Colle Cera,,Neolithic,LTL-5000A,169,"6,149",90,Unknown,,,,,,,,,,14.004100,42.439800,,Colombo 2014
Central Italy,Colle Santo Stefano,,Neolithic,R-468,170,"6,575",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pinhasi et al 2005
Central Italy,Colle Santo Stefano,Pit 3,Neolithic,LTL-57a,171,"6,579",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Central Italy,Colle Santo Stefano,,Neolithic,LTL-525a,172,"6,651",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Central Italy,Colle Santo Stefano,Feature 3,Neolithic,LTL-061a,173,"6,688",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Central Italy,Colle Santo Stefano,,Neolithic,LTL-59a,174,"6,718",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Central Italy,Colle Santo Stefano,,Neolithic,LTL-58a,175,"6,727",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Central Italy,Colle Santo Stefano,"Cobble paved area (H20), US17, #B",Neolithic,LTL-15953A,176,"6,770",90,Seed,Triticum dicoccum,,,,,,,,,13.633300,41.950000,,Binder et al
Central Italy,Colle Santo Stefano,"Cobble paved area (H20), US17, #A",Neolithic,LTL-15952A,177,"6,809",90,Seed,Triticum dicoccum,,,,,,,,,13.633300,41.950000,,Binder et al
Central Italy,Colle Santo Stefano,Pit 18,Neolithic,LTL-526a,178,"6,823",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Central Italy,Colle Santo Stefano,,Neolithic,LTL-60a,179,"6,843",90,Charcoal,,,,,,,,,,13.633300,41.950000,,Pearce 2013
Southern Italy,Coppa Nevigata,"Edge of ditch, Phase II-III",Neolithic,OxA-1474,180,"6,850",90,seed,,,,,,,,,,15.750000,41.500000,,"Manen, C."
Southern Italy,Coppa Nevigata,"Ditch, Phase II-III",Neolithic,OxA-1475,181,"6,880",90,Unknown,,,,,,,,,,15.750000,41.500000,,Fiorentino et al 2013
Sardinia,Cuccuru is Arrius,"Structure 422, level 5",Neolithic,AA-80543,182,"6,040",90,Bone,,,,,,,,,,8.503087,39.920542,,Lugliè 2018
Corsica,Curacchiaghju,Layer 7,Mesolithic,GIF-796,183,"7,300",90,Charcoal,,,,,,,,,,9.123025,41.702750,,Lugliè 2018
Corsica,Curacchiaghju,Level 6a,Mesolithic,GIF-1961,184,"7,310",90,Charcoal,,,,,,,,,,9.123025,41.702750,,Lugliè 2018
Corsica,Curacchiaghju,Level 6,Mesolithic,GIF-1962,185,"7,600",90,Charcoal,,,,,,,,,,9.123025,41.702750,,Lugliè 2018
Corsica,Curacchiaghju,Level 7,Mesolithic,GIF-1963,186,"8,300",90,Charcoal,,,,,,,,,,9.123025,41.702750,,Lugliè 2018
Corsica,Curacchiaghju,Level 7,Mesolithic,GIF-795,187,"8,560",90,Charcoal,,,,,,,,,,9.123025,41.702750,,Lugliè 2018
Southern Italy,Defensola A,,Neolithic,LTL-2718A,188,"6,035",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-2720A,189,"6,178",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-4577A,190,"6,290",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-437A,191,"6,334",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-2716A,192,"6,341",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-438A,193,"6,417",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,Beta-80603,194,"6,540",90,charcoal,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-2717A,195,"6,551",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,Beta-80604,196,"6,570",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,Beta 80604,197,"6,630",90,Charcoal,,,,,,,,,,16.156000,41.897800,,Whitehouse 2013
Southern Italy,Defensola A,,Neolithic,UtC-1411,198,"6,630",90,charcoal,,,,,,,,,,16.156000,41.897800,,Skeates 1994
Southern Italy,Defensola A,,Neolithic,Beta-161933,199,"6,650",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,"North area, 439",Neolithic,Beta-71144,200,"6,650",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,Beta 71144,201,"6,670",90,Unknown,,,,,,,,,,16.156000,41.897800,,Whitehouse 2013
Southern Italy,Defensola A,,Neolithic,Beta-71143,202,"6,740",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,LTL-4500A,203,"6,741",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Southern Italy,Defensola A,,Neolithic,Utc-1342,204,"6,990",90,Unknown,,,,,,,,,,16.156000,41.897800,,Fiorentino et al 2013
Northern Italy,Dugali Alti,,Neolithic,Bln-2795,205,"6,090",90,Charcoal,"Quercus, Fraxinus",,,,,,,,,10.253582,45.223894,,Skeates 1994
Northern Italy,Dugali Alti,,Neolithic,GrM-15257,206,"6,130",90,Bone,Ovicaprid,,,,,,,,,10.253582,45.223894,,Biagi et al 2020
Northern Italy,Dugali Alti,,Neolithic,GrM-12416,207,"6,184",90,Bone,Bos sp. ,,,,,,,,,10.253582,45.223894,,Biagi et al 2020
Central Italy,Esanatoglia Crocifisso,US 52-1,Neolithic,LTL15327a,208,"6,225",90,Carbon,Alnus,,,,,,,,,12.999540,43.245930,,La Marca et al 2017
Central Italy,Esanatoglia Crocifisso,US 1 / ITG 6-2,Neolithic,LTL15328a,209,"6,311",90,Carbon,Quercus sp.,,,,,,,,,12.999540,43.245930,,La Marca et al 2017
Northern Italy,Faenza-Fornace Cappuccini,,Neolithic,R-2313,210,"6,100",90,Unknown,,,,,,,,,,11.858719,44.284437,,Skeates 2000
Northern Italy,Faenza-Fornace Cappuccini,,Neolithic,R-2314,211,"6,280",90,Charcoal,,,,,,,,,,11.858719,44.284437,,Skeates 2000
Northern Italy,Faenza-Fornace Cappuccini,"Pit feature 1, near the ditch",Neolithic,Bln-3372,212,"6,320",90,charcoal,,,,,,,,,,11.876300,44.292500,,Pinhasi et al 2005
Northern Italy,Fagnigola,"Ditch, feature 52",Neolithic,R-1544a,213,"6,050",90,charcoal,,,,,,,,,,12.687500,45.854700,,Allegri et al 1987
Northern Italy,Fagnigola,,Neolithic,R-2551,214,"6,483",90,charcoal,,,,,,,,,,12.687500,45.854700,,Improta & Pessina 1998
Northern Italy,Fagnigola,,Neolithic,R-2539,215,"6,540",90,charcoal,,,,,,,,,,12.687500,45.854700,,Improta & Pessina 1998
Northern Italy,Fagnigola,,Neolithic,R-2538,216,"6,545",90,charcoal,,,,,,,,,,12.687500,45.854700,,Improta & Pessina 1998
Northern Italy,Fagnigola,,Neolithic,R-2554,217,"6,548",90,charcoal,,,,,,,,,,12.687500,45.854700,,Improta & Pessina 1998
Northern Italy,Fagnigola,,Neolithic,R-2550,218,"6,570",90,charcoal,,,,,,,,,,12.687500,45.854700,,Pinhasi et al 2005
Southern Italy,Favella della Corte,"Structure D, Pit Y, US4_II",Neolithic,LTL-204A,219,"6,793",90,Bone,,,,,,,,,,16.253740,39.298260,,Cruz-Berrocal 2012
Southern Italy,Favella della Corte,,Neolithic,Beta-7163,220,"6,860",90,Charcoal,,,,,,,,,,16.253740,39.298260,,Skeates & Whitehouse 1996
Southern Italy,Favella della Corte,"Structure E, Pit 30, US4_II",Neolithic,LTL-203A,221,"6,890",90,Grain,,,,,,,,,,16.253740,39.298260,,Cruz-Berrocal 2012
Southern Italy,Favella della Corte,"Structure A, Pit Z, US4_VI",Neolithic,Beta-71633,222,"6,910",90,Seeds,Cerealia,,,,,,,,,16.253740,39.298260,,Binder et al 2017
Southern Italy,Favella della Corte,"Structure D, Pit Y, US4_XIII",Neolithic,Beta-165482,223,"6,940",90,Seeds,Cerealia,,,,,,,,,16.253740,39.298260,,Binder et al 2017
Southern Italy,Favella della Corte,"Structure E, Pit T, US3",Neolithic,LTL-202A,224,"6,956",90,Grain,,,,,,,,,,16.253740,39.298260,,Cruz-Berrocal 2012
Southern Italy,Favella della Corte,"Structure G, Pit 10, US3_VI",Neolithic,LTL-778A,225,"7,003",90,Bone,,,,,,,,,,16.253740,39.298260,,Binder et al
Northern Italy,Fienile Rossino,,Mesolithic,BLN-3277,226,"6,810",90,Charcoal,,,,,,,,,,10.359195,45.593636,,Skeates 1994
Sardinia,Filiestru,"Trench B, Stratum 9",Neolithic,Q-3024,227,"6,120",90,Unknown,,,,,,,,,,8.660000,40.500000,,Allegri et al 1987
Sardinia,Filiestru,Trench B10-12 (level 7d),Neolithic,Q-3023,228,"6,470",90,Unknown,,,,,,,,,,8.660000,40.500000,,"Manen, C."
Sardinia,Filiestru,Trench B11-12 (level 7c),Neolithic,Q-3022,229,"6,515",90,Unknown,,,,,,,,,,8.660000,40.500000,,"Manen, C."
Sardinia,Filiestru,Trench B10-12 (level 7c),Neolithic,Q-3021,230,"6,615",90,Unknown,,,,,,,,,,8.660000,40.500000,,"Manen, C."
Sardinia,Filiestru,"Trench D, layers 7-9",Mesolithic,BM-2139R,231,"7,760",90,"collagen, bone",,,,,,,,,,8.660000,40.500000,,Bernabò Brea et al 2017
Northern Italy,Fiorano Modenese,Pit 5,Neolithic,GrN-19839,232,"6,540",90,Bone,,,,,,,,,,10.816700,44.537100,,Pinhasi et al 2005
Northern Italy,Fiorano Modenese,Pit 2,Neolithic,GrN-19838,233,"6,690",90,Bone,,,,,,,,,,10.816700,44.537100,,Ferrari et al 1998
Southern Italy,Fontanarosa Uliveto,External ditch,Neolithic,BM-2415,234,"6,490",90,charcoal,,,,,,,,,,15.021100,41.500000,,Pinhasi et al 2005
Northern Italy,Fonte Chiarano,,Neolithic,AECV-1996C,235,"6,380",90,Charcoal,,,,,,,,,,12.583800,45.730000,,Pinhasi et al 2005
Central Italy,Fonte Rossi (Lama dei Peligni),,Neolithic,OxA-1958,236,"6,540",90,Bone,Homo sapiens,,,,,,,,,14.209500,42.055300,,Pinhasi et al 2005
Southern Italy,Fonteviva,Individual 2,Neolithic,SUERC- 77407,237,"6,570",90,Bone,Homo sapiens,,,,,,,,,15.520568,41.491562,,Parkinson & McLaughlin 2020
Southern Italy,Fonteviva,Individual 1,Neolithic,SUERC- 77406,238,"6,594",90,Bone,Homo sapiens,,,,,,,,,15.520568,41.491562,,Parkinson & McLaughlin 2020
Northern Italy,Frea II,Layer 3,Mesolithic,R-1497,239,"7,000",90,Unknown,,,,,,,,,,11.783958,46.556539,,Angelucci 1997
Northern Italy,Frea II,,Mesolithic,R-2567,240,"7,112",90,Unknown,,,,,,,,,,11.783958,46.556539,,Angelucci 1997
Corsica,Gritulu,SU46,Neolithic,Ly-842,241,"6,840",90,Charcoal,,,,,,,,,,9.406553,42.897200,,Lugliè 2018
Corsica,Gritulu,US 47,Mesolithic,Ly 823,242,"8,130",90,Charcoal,,,,,,,,,,9.406553,42.897200,,Lo Veto & Martini 2016
Central Italy,Grotta Bella,,Neolithic,?,243,"6,372",90,Charcoal,,,,,,,,,,12.344642,42.644489,,Skeates 1994
Central Italy,Grotta Bella,Trench 3,Neolithic,Gif-4375,244,"6,450",90,Unknown,,,,,,,,,,12.344642,42.644489,,Skeates & Whitehouse 1998
Northern Italy,Grotta Benussi,Cuts 3-4,Mesolithic,R-1042,245,"7,230",90,"collagen, bone",,,,,,,,,,13.692880,45.777330,,Skeates 1994
Northern Italy,Grotta Benussi,Cut 4,Mesolithic,R-1044,246,"7,620",90,charcoal,,,,,,,,,,13.692880,45.777330,,Müller 1991
Northern Italy,Grotta Benussi,Cut 5,Mesolithic,R-1045,247,"8,380",90,Unknown,,,,,,,,,,13.692880,45.777330,,Skeates 1994
Northern Italy,Grotta Benussi,Cut 5-6,Mesolithic,R-1045a,248,"8,650",90,Unknown,,,,,,,,,,13.692880,45.777330,,Skeates 1994
Northern Italy,Grotta Benussi,Cut 3,Mesolithic,R-1043,249,"7,050",90,Charcoal,,,,,,,,,,13.693005,45.777321,,Skeates 1994
Northern Italy,Grotta Benussi,,Mesolithic,R-819,250,"8,650",90,Bone,Animal,,,,,,,,,13.693005,45.777321,,Skeates 1994
Central Italy,Grotta Continenza,,Neolithic,R-1410,251,"6,170",90,Unknown,,,,,,,,,,13.535500,41.958000,,Müller 1991
Central Italy,Grotta Continenza,,Neolithic,R-2938,252,"6,570",90,Charcoal,,,,,,,,,,13.535500,41.958000,,Skeates & Whitehouse 1998
Central Italy,Grotta Continenza,t. 20,Neolithic,R-1411,253,"6,590",90,Charcoal,,,,,,,,,,13.535500,41.958000,,Pinhasi et al 2005
Central Italy,Grotta Continenza,Pit 26,Mesolithic,R-553,254,"9,100",100,Unknown,,,,,,,,,,13.535500,41.958000,,Martini & Tozzi 1998
Central Italy,Grotta Continenza,Pit 27,Mesolithic,R-554,255,"9,330",100,Charcoal,,,,,,,,,,13.535500,41.958000,,Lo Veto & Martini 2016
Central Italy,Grotta Continenza,Pit 25,Mesolithic,R-552,256,"9,490",100,Charcoal,,,,,,,,,,13.535500,41.958000,,Lo Veto & Martini 2016
Central Italy,Grotta Continenza,,Mesolithic,LTL6186A,257,"7,000",60,Charcoal,,,,,,,,,,14.204780,42.465570,,Lo Veto & Martini 2016
Sardinia,Grotta Corbeddu,"Hall 2, trench 1",Neolithic,GrN-11433,258,"6,260",90,Charcoal,,,,,,,,,,9.480000,40.250000,,Lugliè 2018
Sardinia,Grotta Corbeddu,"Hall 2, tr. 1 – base",Neolithic,UtC-15233,259,"6,490",90,Charcoal,,,,,,,,,,9.480000,40.250000,,Lugliè 2018
Sardinia,Grotta Corbeddu,Layer 1a,Neolithic,UtC-1251,260,"6,690",90,Unknown,,,,,,,,,,9.480000,40.250000,,Pinhasi et al 2005
Sardinia,Grotta Corbeddu,"Hall 2 layer 2, top",Mesolithic,UtC-301,261,"7,860",90,"collagen, bone",,,,,,,,,,9.480000,40.250000,,Skeates 1994
Sardinia,Grotta Corbeddu,"Hall 2,layer 1, base",Mesolithic,UtC-22,262,"8,040",90,charcoal,,,,,,,,,,9.480000,40.250000,,"Manen, C."
Sardinia,Grotta Corbeddu,"Hall 2, layer 2",Mesolithic,UtC-235,263,"8,160",90,charcoal,,,,,,,,,,9.480000,40.250000,,Pluciennik 1997
Sardinia,Grotta Corbeddu,"Hall 2, layer 2",Mesolithic,UtC-300,264,"8,750",90,"collagen, bone",,,,,,,,,,9.480000,40.250000,,Pluciennik 1997
Sardinia,Grotta Corbeddu,,Mesolithic,UtC-726,265,"8,960",90,charcoal,,,,,,,,,,9.480000,40.250000,,Pluciennik 1997
Sardinia,Grotta Corbeddu,"Hall 2, layer 2",Mesolithic,GrN-11434,266,"9,120",90,Unknown,,,,,,,,,,9.480000,40.250000,,Pluciennik 1997
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-6154,267,"6,000",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-5639,268,"6,460",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-6153,269,"6,500",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-6155,270,"7,280",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-5613,271,"7,660",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-54797,272,"7,870",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-5481,273,"8,140",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-5492,274,"8,270",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-4510,275,"8,520",90,Collagen,Cervus,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-5618,276,"9,110",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Northern Italy,Grotta d'Ernesto,,Mesolithic,Gd-6132,277,"9,300",90,Charcoal,,,,,,,,,,11.672950,45.972778,,Skeates & Whitehouse 1994
Sicily,Grotta d'Oriente,,Mesolithic,LTL874A,278,"8,608",90,Charcoal,,,,,,,,,,12.294860,37.927970,,Lo Veto & Martini 2016
Sicily,Grotta d'Oriente,,Mesolithic,LTL876A,279,"8,619",90,Charcoal,,,,,,,,,,12.294860,37.927970,,Lo Veto & Martini 2016
Sicily,Grotta d'Oriente,,Mesolithic,LTL875A,280,"8,699",90,Charcoal,,,,,,,,,,12.294860,37.927970,,Lo Veto & Martini 2016
Northern Italy,Grotta dei Ciclami,,Neolithic,R-1038,281,"6,290",90,Charcoal,,,,,,,,,,13.817330,45.707468,,Skeates 1994
Northern Italy,Grotta dei Ciclami,Cut 8b,Neolithic,R-1040,282,"6,300",90,Charcoal,,,,,,,,,,13.817330,45.707468,,Skeates 1994
Northern Italy,Grotta dei Ciclami,,Mesolithic,R-1041,283,"8,260",90,Charcoal,,,,,,,,,,13.817330,45.707468,,Skeates 1994
Northern Italy,Grotta dei Covoloni dei Broion,,Mesolithic,R-982,284,"6,930",90,Charcoal,,,,,,,,,,11.516667,45.433333,,Skeates 1994
Central Italy,Grotta dei Piccioni,"Ditch, phase D",Neolithic,PI-46,285,"6,247",90,Charcoal,,,,,,,,,,14.216700,42.466700,,Pinhasi et al 2005
Sicily,Grotta del Cavallo,,Neolithic,R-432,286,"6,200",90,Charcoal,,,,,,,,,,12.859200,38.001100,,Tusa 2013
Central Italy,Grotta del'Orso,,Neolithic,R-676,287,"6,080",90,charcoal,,,,,,,,,,11.868800,42.990200,,http://fepre.mas.ncl.ac.uk/
Northern Italy,Grotta dell'Edera,,Neolithic,MC-2333,288,"6,490",90,Charcoal,,,,,,,,,,8.319977,44.196025,,Skeates 1994
Northern Italy,Grotta dell'Edera,,Neolithic,MC-2332,289,"6,510",90,Charcoal,,,,,,,,,,8.319977,44.196025,,Skeates 1994
Northern Italy,Grotta dell'Edera,"Layer 3a, spit 350-360 cm, hearth",Neolithic,GrA-19820,290,"6,390",90,Bone,Bos,,,,,,,,,8.353650,44.172830,,Skeates 2003
Northern Italy,Grotta dell'Edera,"layer 2a, spit 310-320 cm, middle charcoal lens",Mesolithic,GrN-26795,291,"6,410",90,Charcoal,,,,,,,,,,8.353650,44.172830,,Skeates 2003
Northern Italy,Grotta dell'Edera,"Level 3A, hearth",Mesolithic,GrN-27229,292,"6,510",90,Bone,Cervis elaphus,,,,,,,,,8.353650,44.172830,,Skeates 2003
Northern Italy,Grotta dell'Edera,"Layer 3a, spit 350-360 cm, hearth",Mesolithic,GrA-19912,293,"6,620",90,Bone,Ovis,,,,,,,,,8.353650,44.172830,,Skeates 2003
Northern Italy,Grotta dell'Edera,,Mesolithic,GrA-14106,294,"8,045",90,Charcoal,pinus,,,,,,,,,8.353650,44.172830,,Forenbaher & Miracle 2005
Northern Italy,Grotta dell'Edera,"ED 13, level 3b",Mesolithic,GrN-25137,295,"8,060",90,Charcoal,,,,,,,,,,8.353650,44.172830,,Forenbaher & Miracle 2005
Northern Italy,Grotta dell'Edera,"ED 14, level 3b",Mesolithic,GrN-25138,296,"8,110",90,Charcoal,,,,,,,,,,8.353650,44.172830,,Forenbaher & Miracle 2005
Northern Italy,Grotta dell'Edera,,Mesolithic,GrA-11818,297,"8,250",90,Charcoal,,,,,,,,,,8.353650,44.172830,,Forenbaher & Miracle 2005
Northern Italy,Grotta dell'Edera,"ED 15, level 3c",Mesolithic,GrN-25139,298,"8,350",90,Charcoal,,,,,,,,,,8.353650,44.172830,,Forenbaher & Miracle 2005
Sicily,Grotta dell'Uzzo,A-8,Mesolithic,MAMS-4078,299,"9,436",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,F-19,Mesolithic,MAMS-40710,300,"9,436",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,W-2,Neolithic,MAMS-40723,301,"6,286",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,S-rim,Neolithic,MAMS-40716,302,"6,310",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,S-5,Neolithic,MAMS-40717,303,"6,310",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,F-4,Neolithic,MAMS-40725,304,"6,351",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,T-13,Neolithic,MAMS-48213,305,"6,446",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,"Trench W, Cut 15",Neolithic,UD-165,306,"6,720",90,charcoal,,,,,,,,,,12.786510,38.110100,,Skeates 1994
Sicily,Grotta dell'Uzzo,"Trench F, Cuts 7–9",Neolithic,P-2733,307,"6,750",90,charcoal,,,,,,,,,,12.786510,38.110100,,Müller 1991
Sicily,Grotta dell'Uzzo,"Trench F, spit 9",Neolithic,OxA-V-2364-40,308,"7,006",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Mannino et al 2015
Sicily,Grotta dell'Uzzo,W-14,Mesolithic,MAMS-40712,309,"7,036",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,M-10,Mesolithic,MAMS-48212,310,"7,051",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,F-15,Mesolithic,MAMS-40709,311,"7,713",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,u-rim,Mesolithic,MAMS-40722,312,"7,809",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,"Trench F, spit 16",Mesolithic,OxA-V-2364-41,313,"7,871",90,Bone,Homo sapiens,,,,,,,,,12.786510,38.110100,,Mannino et al 2015
Sicily,Grotta dell'Uzzo,"Trench F, cuts 13-14",Mesolithic,P-2734,314,"7,910",90,charcoal,,,,,,,,,,12.786510,38.110100,,Mannino & Thomas 2007
Sicily,Grotta dell'Uzzo,"Trench F, Cuts 16–18",Mesolithic,P-2735,315,"8,330",90,charcoal,,,,,,,,,,12.786510,38.110100,,Mussi 1992
Sicily,Grotta dell'Uzzo,"Trench A, Cut 7",Mesolithic,P-2556,316,"9,030",90,Unknown,,,,,,,,,,12.786510,38.110100,,Mussi 1992
Sicily,Grotta dell'Uzzo,"Trench A, Cut 16",Mesolithic,P-2557,317,"9,180",90,Unknown,,,,,,,,,,12.786510,38.110100,,Mussi 1992
Sicily,Grotta dell'Uzzo,"Trench C, Cut 3",Mesolithic,P-2558,318,"9,300",90,Unknown,,,,,,,,,,12.786510,38.110100,,Mussi 1992
Southern Italy,Grotta della Madonna,US548,Mesolithic,LTL13713A,319,"7,463",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,US637,Mesolithic,LTL13714A,320,"8,135",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,,Mesolithic,R-187,321,"8,735",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,US612,Mesolithic,LTL13712A,322,"8,782",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,,Mesolithic,R-187a,323,"8,875",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,US657,Mesolithic,LTL13715A,324,"8,878",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,US614,Mesolithic,LTL13716A,325,"8,991",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta della Madonna,US657,Mesolithic,LTL13717A,326,"9,076",90,Charcoal,,,,,,,,,,15.783130,39.893360,,Lo Veto & Martini 2016
Southern Italy,Grotta delle Mura,,Mesolithic,UtC-780,327,"8,240",90,Charcoal,,,,,,,,,,17.307530,40.947520,,Lo Veto & Martini 2016
Southern Italy,Grotta delle Mura,,Mesolithic,UtC-1417,328,"8,290",90,Charcoal,,,,,,,,,,17.307530,40.947520,,Lo Veto & Martini 2016
Southern Italy,Grotta delle Soppressate,"Sector B, spit 4",Mesolithic,F-33,329,"7,540",90,shells,,,,,,,,,,14.48,40.63,,Skeates 1994
Southern Italy,Grotta delle Soppressate,"Sector C1, spit 6",Mesolithic,F-34,330,"9,320",90,shells,,,,,,,,,,14.48,40.63,,Skeates 1994
Southern Italy,Grotta delle Soppressate,"Sector DI, spit 6",Mesolithic,F-36,331,"9,530",90,shells,,,,,,,,,,14.48,40.63,,Skeates 1994
Sicily,Grotta delle Uccerie,,Mesolithic,LTL1514A,332,"7,998",90,Charcoal,,,,,,,,,,12.294860,37.927970,,Lo Veto & Martini 2016
Sicily,Grotta delle Uccerie,,Mesolithic,LTL1515A,333,"8,320",90,Charcoal,,,,,,,,,,12.294860,37.927970,,Lo Veto & Martini 2016
Sicily,Grotta di Cala Mancina,,Mesolithic,LTL772A,334,"8,467",90,Charcoal,,,,,,,,,,12.728350,38.180160,,Lo Veto & Martini 2016
Sicily,Grotta di Cala Mancina,,Mesolithic,LTL771A,335,"9,332",90,Charcoal,,,,,,,,,,12.728350,38.180160,,Lo Veto & Martini 2016
Sicily,Grotta di Molara,,Mesolithic,OxA-534,336,"8,600",90,"collagen, bone",Homo sapiens,,,,,,,,,13.716670,38.116670,,Gowlett et al 1987
