Gene,Feature,FoldChange.phos,pval.phos,logp.phos,FDR.phos,logfdr.phos,signedlogp.phos,signedfdr.phos,FoldChange.prot,pval.prot,logp.prot,FDR.prot,logfdr.prot,signedlogp.prot,signedfdr.prot,Comparison
KAT6B,KAT6B-T1275,0.2851,5.37E-04,3.270173483,0.036548429,1.437131285,3.270173483,1.437131285,0.009,0.577153305,0.238708813,0.747866478,0.126175933,0.238708813,0.126175933,CNV-low
KDM1A,KDM1A-T104,-0.298825,2.16E-04,3.665526129,0.021376383,1.670065776,-3.665526129,-1.670065776,-0.088159,0.052172618,1.282557374,0.171895366,0.764735831,-1.282557374,-0.764735831,CNV-low
KHSRP,KHSRP-S480,-0.273,7.71E-04,3.112732348,0.046093414,1.336361125,-3.112732348,-1.336361125,0.06765,0.413092125,0.383953084,0.614803138,0.211263925,0.383953084,0.211263925,CNV-low
KIAA0232,KIAA0232-S227,0.402,4.58E-04,3.339150938,0.034169833,1.466357146,3.339150938,1.466357146,0.13595,0.031401,1.503056527,0.122982499,0.910156685,1.503056527,0.910156685,CNV-low
KIAA0556,KIAA0556-S691,0.418,6.62E-04,3.179064627,0.041804814,1.378773707,3.179064627,1.378773707,0.2226,0.014195646,1.847844845,0.073813379,1.131864913,1.847844845,1.131864913,CNV-low
KIAA0556,KIAA0556-S368,0.3764,1.59E-04,3.799728041,0.017448761,1.758235415,3.799728041,1.758235415,0.2226,0.014195646,1.847844845,0.073813379,1.131864913,1.847844845,1.131864913,CNV-low
KIAA0556,KIAA0556-S233,0.40485,6.51E-04,3.18632202,0.041412848,1.382864905,3.18632202,1.382864905,0.2226,0.014195646,1.847844845,0.073813379,1.131864913,1.847844845,1.131864913,CNV-low
KIAA1191,KIAA1191-S183,0.377,5.13E-04,3.289812198,0.036033654,1.443291699,3.289812198,1.443291699,0.1078,0.061510489,1.211050818,0.190562971,0.719961485,1.211050818,0.719961485,CNV-low
KRT16,KRT16-S448,1.145,5.89E-04,3.22957794,0.038520342,1.414309863,3.22957794,1.414309863,0.6733,0.014898143,1.826867851,0.076299747,1.117476903,1.826867851,1.117476903,CNV-low
LAS1L,LAS1L-S246,0.4065,1.06E-05,4.973408677,0.003080277,2.511410214,4.973408677,2.511410214,-0.03325,0.964490725,0.015701945,0.984472555,0.006796387,-0.015701945,-0.006796387,CNV-low
LAS1L,LAS1L-S249,0.31115,4.95E-05,4.305494267,0.008286427,2.081632687,4.305494267,2.081632687,-0.03325,0.964490725,0.015701945,0.984472555,0.006796387,-0.015701945,-0.006796387,CNV-low
LIG3,LIG3-S210,-0.5293,1.93E-04,3.713590344,0.02004992,1.697887361,-3.713590344,-1.697887361,-0.00395,0.858664581,0.066176451,0.930313367,0.031370739,-0.066176451,-0.031370739,CNV-low
LIMCH1,LIMCH1-S1141,0.8335,7.23E-04,3.140846681,0.044309283,1.353505273,3.140846681,1.353505273,0.15095,0.083740928,1.077062228,0.231391564,0.635652479,1.077062228,0.635652479,CNV-low
LIN37,LIN37-S138,-0.25465,9.62E-05,4.016741188,0.01303374,1.88493095,-4.016741188,-1.88493095,-0.124305,0.207022327,0.683982814,0.406066335,0.391403014,-0.683982814,-0.391403014,CNV-low
LIN54,LIN54-S310,-0.7425,1.71E-04,3.76591389,0.018580837,1.730934734,-3.76591389,-1.730934734,-0.184,0.016677691,1.777864084,0.082023301,1.086062756,-1.777864084,-1.086062756,CNV-low
LIN54,LIN54-T280,-0.52127,2.86E-04,3.544310473,0.025809803,1.588215318,-3.544310473,-1.588215318,-0.184,0.016677691,1.777864084,0.082023301,1.086062756,-1.777864084,-1.086062756,CNV-low
LIN54,LIN54-S314,-0.7425,1.71E-04,3.76591389,0.018580837,1.730934734,-3.76591389,-1.730934734,-0.184,0.016677691,1.777864084,0.082023301,1.086062756,-1.777864084,-1.086062756,CNV-low
LMNB1,LMNB1-S284,-0.505,7.21E-04,3.142089016,0.044286796,1.353725738,-3.142089016,-1.353725738,-0.241335,0.033451773,1.475580863,0.127769976,0.893571185,-1.475580863,-0.893571185,CNV-low
LRCH1,LRCH1-T538,0.213,8.85E-04,3.052888432,0.049808424,1.302697198,3.052888432,1.302697198,0.0777,0.07219574,1.141488429,0.210093811,0.677586742,1.141488429,0.677586742,CNV-low
LRRFIP1,LRRFIP1-S467,-0.4048,3.63E-05,4.439570553,0.006968375,2.156868489,-4.439570553,-2.156868489,-0.03215,0.399543923,0.39843547,0.603460718,0.219350995,-0.39843547,-0.219350995,CNV-low
LRWD1,LRWD1-S212,-0.5057,3.79E-05,4.420884571,0.007169309,2.144522685,-4.420884571,-2.144522685,-0.078,0.215094258,0.667371184,0.415630633,0.381292451,-0.667371184,-0.381292451,CNV-low
MAP1S,MAP1S-S478,0.408525,7.78E-04,3.109177377,0.046300906,1.334410515,3.109177377,1.334410515,0.017,0.626766668,0.202894108,0.782011334,0.106786953,0.202894108,0.106786953,CNV-low
MAP4,MAP4-S696,-0.64095,7.61E-07,6.118338112,4.90E-04,3.309552163,-6.118338112,-3.309552163,0.1,0.059634771,1.224500441,0.187378912,0.727279287,1.224500441,0.727279287,CNV-low
MAP7,MAP7-T307,-0.477,2.18E-04,3.660748144,0.02145005,1.668571697,-3.660748144,-1.668571697,-0.0115,0.558148326,0.253250374,0.733640825,0.134516509,-0.253250374,-0.134516509,CNV-low
MAP7D1,MAP7D1-S86,-0.3885,3.32E-04,3.478769085,0.02853075,1.544686808,-3.478769085,-1.544686808,0.08615,0.244281118,0.612110102,0.447746252,0.348968041,0.612110102,0.348968041,CNV-low
MAPK8IP3,MAPK8IP3-S1192,-0.9455,3.44E-04,3.463445032,0.029104076,1.536046185,-3.463445032,-1.536046185,-0.21065,0.043770215,1.358821316,0.152644029,0.816320181,-1.358821316,-0.816320181,CNV-low
MARK1,MARK1-S524,0.403,1.47E-04,3.83345783,0.016782177,1.775151705,3.83345783,1.775151705,0.3362,0.008711131,2.059925456,0.053467128,1.271913144,2.059925456,1.271913144,CNV-low
MARS,MARS-S825,-0.39,6.31E-04,3.199652143,0.040457069,1.39300558,-3.199652143,-1.39300558,-0.085,0.059634771,1.224500441,0.187378912,0.727279287,-1.224500441,-0.727279287,CNV-low
MED1,MED1-T1215,-0.28695,5.75E-04,3.24062714,0.037885005,1.421532656,-3.24062714,-1.421532656,-0.03315,0.088757277,1.051796032,0.240027836,0.619738391,-1.051796032,-0.619738391,CNV-low
MED1,MED1-S1207,-0.38875,2.17E-05,4.663214127,0.005078693,2.294248022,-4.663214127,-2.294248022,-0.03315,0.088757277,1.051796032,0.240027836,0.619738391,-1.051796032,-0.619738391,CNV-low
MEF2C,MEF2C-S240,0.35255,3.19E-04,3.495868041,0.027733821,1.556990286,3.495868041,1.556990286,0.055,0.124441695,0.905034083,0.297524016,0.526477972,0.905034083,0.526477972,CNV-low
MEPCE,MEPCE-S254,-0.4091,1.37E-04,3.862731129,0.01625875,1.788912838,-3.862731129,-1.788912838,-0.0928,0.161325528,0.792296905,0.348715869,0.457528288,-0.792296905,-0.457528288,CNV-low
MFHAS1,MFHAS1-S1038,-0.3909,6.05E-05,4.218128612,0.009562829,2.019413606,-4.218128612,-2.019413606,-0.090725,0.050904885,1.293240535,0.168949104,0.772244108,-1.293240535,-0.772244108,CNV-low
MGA,MGA-S607,-0.348555,4.73E-04,3.325454053,0.034964538,1.456372202,-3.325454053,-1.456372202,-0.06709,0.282239803,0.54938174,0.48890636,0.310774313,-0.54938174,-0.310774313,CNV-low
MGA,MGA-S1457,-0.45315,2.70E-04,3.568852217,0.024821938,1.605164308,-3.568852217,-1.605164308,-0.06709,0.282239803,0.54938174,0.48890636,0.310774313,-0.54938174,-0.310774313,CNV-low
MSL1,MSL1-T123,-0.7015,5.55E-05,4.255809343,0.00901481,2.045043407,-4.255809343,-2.045043407,-0.01205,0.823852832,0.084150361,0.90958478,0.041156815,-0.084150361,-0.041156815,CNV-low
MTA1,MTA1-T564,-0.5881,3.63E-04,3.439685074,0.029793998,1.525871222,-3.439685074,-1.525871222,-0.1185,0.553553888,0.256840095,0.730270673,0.13651614,-0.256840095,-0.13651614,CNV-low
NAA10,NAA10-S186,-0.4791,2.58E-06,5.588716723,0.001129815,2.946992716,-5.588716723,-2.946992716,-0.10845,0.01747069,1.757689934,0.084780388,1.071704599,-1.757689934,-1.071704599,CNV-low
NACA,NACA-S271,0.8838,3.20E-04,3.494664763,0.027733821,1.556990286,3.494664763,1.556990286,-0.12325,0.111294783,0.953525192,0.277660565,0.556485796,-0.953525192,-0.556485796,CNV-low
NCOR1,NCOR1-S2377,0.3405,2.24E-04,3.649871954,0.021870452,1.660142243,3.649871954,1.660142243,0.02625,0.721729198,0.141625725,0.846554848,0.072344899,0.141625725,0.072344899,CNV-low
NCOR2,NCOR2-S1558,0.15825,7.71E-04,3.112732348,0.046093414,1.336361125,3.112732348,1.336361125,0.1343,0.145549601,0.83698898,0.327537739,0.484738653,0.83698898,0.484738653,CNV-low
NCOR2,NCOR2-S2453,0.3544,7.72E-05,4.112117535,0.011190537,1.951149068,4.112117535,1.951149068,0.1343,0.145549601,0.83698898,0.327537739,0.484738653,0.83698898,0.484738653,CNV-low
NFATC2IP,NFATC2IP-S204,-0.3045,1.34E-04,3.87172753,0.01607152,1.793943051,-3.87172753,-1.793943051,-0.1159,0.009158505,2.038175423,0.05545961,1.256023186,-2.038175423,-1.256023186,CNV-low
NFATC4,NFATC4-S284,0.58825,2.96E-04,3.528032371,0.026474377,1.57717425,3.528032371,1.57717425,0.2205,0.047391596,1.324298666,0.160601545,0.79425028,1.324298666,0.79425028,CNV-low
NFATC4,NFATC4-S322,0.4257,4.60E-04,3.337688679,0.034236097,1.465515751,3.337688679,1.465515751,0.2205,0.047391596,1.324298666,0.160601545,0.79425028,1.324298666,0.79425028,CNV-low
NICN1,NICN1-S142,0.54945,1.42E-04,3.848766036,0.016423176,1.784542849,3.848766036,1.784542849,0.60115,0.015151515,1.819543936,0.077133619,1.112756291,1.819543936,1.112756291,CNV-low
NIPBL,NIPBL-T592,-0.212555,2.99E-05,4.524823572,0.006156401,2.210673125,-4.524823572,-2.210673125,-0.04968,0.401468335,0.396348703,0.605006052,0.218240281,-0.396348703,-0.218240281,CNV-low
NIPBL,NIPBL-T599,-0.521,1.65E-07,6.783761853,1.67E-04,3.77712726,-6.783761853,-3.77712726,-0.04968,0.401468335,0.396348703,0.605006052,0.218240281,-0.396348703,-0.218240281,CNV-low
NKAP,NKAP-S157,-0.4496,5.10E-04,3.29234328,0.036033654,1.443291699,-3.29234328,-1.443291699,-0.01495,0.196687518,0.706223201,0.393091408,0.405506448,-0.706223201,-0.405506448,CNV-low
NKAP,NKAP-T161,-0.47795,5.66E-04,3.247333966,0.037589569,1.424932655,-3.247333966,-1.424932655,-0.01495,0.196687518,0.706223201,0.393091408,0.405506448,-0.706223201,-0.405506448,CNV-low
NME9,NME9-S135,1.397,3.66E-04,3.436304919,0.029885821,1.524534809,3.436304919,1.524534809,0.635,0.044257076,1.354017281,0.153737792,0.81321936,1.354017281,0.81321936,CNV-low
NOC2L,NOC2L-S56,-0.86625,1.39E-04,3.858012621,0.016288286,1.788124623,-3.858012621,-1.788124623,-0.06035,0.043690683,1.359611164,0.152418068,0.816963546,-1.359611164,-0.816963546,CNV-low
NOC2L,NOC2L-S49,-0.54695,2.38E-07,6.62331467,2.18E-04,3.661918558,-6.62331467,-3.661918558,-0.06035,0.043690683,1.359611164,0.152418068,0.816963546,-1.359611164,-0.816963546,CNV-low
NOL12,NOL12-S134,-0.3083,4.93E-04,3.307367593,0.035555509,1.449093102,-3.307367593,-1.449093102,-0.044,0.225557645,0.646742448,0.427351535,0.369214732,-0.646742448,-0.369214732,CNV-low
NOL8,NOL8-S660,-0.7037,2.99E-05,4.524916329,0.006156401,2.210673125,-4.524916329,-2.210673125,-0.143585,0.028401843,1.546653483,0.115477475,0.93750272,-1.546653483,-0.93750272,CNV-low
NOLC1,NOLC1-T617,-0.7974,1.85E-04,3.731702937,0.019502323,1.709913646,-3.731702937,-1.709913646,-0.159,0.062469582,1.204331401,0.191933798,0.716848543,-1.204331401,-0.716848543,CNV-low
NOLC1,NOLC1-S653,-0.709,6.16E-05,4.21076553,0.009610787,2.017241028,-4.21076553,-2.017241028,-0.159,0.062469582,1.204331401,0.191933798,0.716848543,-1.204331401,-0.716848543,CNV-low
NOP58,NOP58-S502,-0.3813,2.91E-04,3.536015373,0.026126393,1.582920537,-3.536015373,-1.582920537,-0.06445,0.17181778,0.764931897,0.362312732,0.440916404,-0.764931897,-0.440916404,CNV-low
NOP58,NOP58-S514,-0.463775,7.01E-05,4.154174452,0.010390546,1.98336162,-4.154174452,-1.98336162,-0.06445,0.17181778,0.764931897,0.362312732,0.440916404,-0.764931897,-0.440916404,CNV-low
NPM1,NPM1-S70,-0.55785,1.59E-04,3.799728041,0.017448761,1.758235415,-3.799728041,-1.758235415,-0.0251369,0.533108746,0.273184193,0.715014896,0.14568491,-0.273184193,-0.14568491,CNV-low
NPM1,NPM1-S254,-0.921,3.20E-04,3.495064797,0.027733821,1.556990286,-3.495064797,-1.556990286,-0.0251369,0.533108746,0.273184193,0.715014896,0.14568491,-0.273184193,-0.14568491,CNV-low
NUCKS1,NUCKS1-T179,-0.4865,3.45E-04,3.461626504,0.029104076,1.536046185,-3.461626504,-1.536046185,0.1115,0.280708516,0.551744411,0.486957415,0.312509017,0.551744411,0.312509017,CNV-low
NUCKS1,NUCKS1-S181,-0.6154,1.02E-07,6.989823453,1.37E-04,3.863617092,-6.989823453,-3.863617092,0.1115,0.280708516,0.551744411,0.486957415,0.312509017,0.551744411,0.312509017,CNV-low
NUDC,NUDC-S139,-0.382,4.81E-05,4.318281694,0.008208321,2.085745642,-4.318281694,-2.085745642,-0.074385,0.034315456,1.464510226,0.129826006,0.886638303,-1.464510226,-0.886638303,CNV-low
NUP214,NUP214-S678,-0.3237,1.26E-05,4.898278269,0.003497673,2.456220825,-4.898278269,-2.456220825,-0.0531,0.125827858,0.900223195,0.300305816,0.522436257,-0.900223195,-0.522436257,CNV-low
NUP214,NUP214-S430,-0.197875,5.14E-04,3.288989731,0.036033654,1.443291699,-3.288989731,-1.443291699,-0.0531,0.125827858,0.900223195,0.300305816,0.522436257,-0.900223195,-0.522436257,CNV-low
NUP88,NUP88-S517,-0.4972,2.30E-06,5.637817574,0.001044132,2.981244447,-5.637817574,-2.981244447,-0.012805,0.708945765,0.149386988,0.838765599,0.07635939,-0.149386988,-0.07635939,CNV-low
NUP98,NUP98-T529,-0.4986,7.43E-04,3.129001277,0.04506843,1.346127575,-3.129001277,-1.346127575,-0.06675,0.03460492,1.460862156,0.130430032,0.884622398,-1.460862156,-0.884622398,CNV-low
NUP98,NUP98-S618,-0.2942,6.52E-04,3.185647367,0.04142671,1.382719556,-3.185647367,-1.382719556,-0.06675,0.03460492,1.460862156,0.130430032,0.884622398,-1.460862156,-0.884622398,CNV-low
OCIAD1,OCIAD1-S113,-0.45328,1.03E-04,3.987117285,0.013494307,1.869849422,-3.987117285,-1.869849422,-0.05515,0.683628813,0.165179641,0.82187903,0.0851921,-0.165179641,-0.0851921,CNV-low
ORC2,ORC2-S280,-0.49415,4.97E-05,4.303853241,0.008286427,2.081632687,-4.303853241,-2.081632687,-0.102055,0.012066527,1.918417703,0.066876533,1.174726247,-1.918417703,-1.174726247,CNV-low
PAK3,PAK3-S175,0.661,2.65E-04,3.576508495,0.024600787,1.609050991,3.576508495,1.609050991,0.2619,0.267676768,0.572389321,0.473791392,0.324412834,0.572389321,0.324412834,CNV-low
PALLD,PALLD-S392,0.7005,1.83E-04,3.737967477,0.019261863,1.715301708,3.737967477,1.715301708,0.1455,0.022767305,1.642688371,0.099949676,1.00021861,1.642688371,1.00021861,CNV-low
PATJ,PATJ-S522,-0.7187,1.43E-04,3.844538711,0.016467742,1.783365945,-3.844538711,-1.783365945,-0.18195,0.017798367,1.749619846,0.085778792,1.066620072,-1.749619846,-1.066620072,CNV-low
PBRM1,PBRM1-S178,-0.6136,7.26E-04,3.139234696,0.044317821,1.353421598,-3.139234696,-1.353421598,-0.11345,0.196688821,0.706220322,0.393091408,0.405506448,-0.706220322,-0.405506448,CNV-low
PDS5B,PDS5B-T1370,-0.32435,3.75E-04,3.42583085,0.030225205,1.519630741,-3.42583085,-1.519630741,0.06895,0.89104481,0.050100455,0.949487249,0.022510863,0.050100455,0.022510863,CNV-low
PDS5B,PDS5B-S1369,-0.857,1.32E-04,3.880634585,0.015891052,1.798847364,-3.880634585,-1.798847364,0.06895,0.89104481,0.050100455,0.949487249,0.022510863,0.050100455,0.022510863,CNV-low
PDS5B,PDS5B-S1358,-0.31825,3.79E-05,4.420907182,0.007169309,2.144522685,-4.420907182,-2.144522685,0.06895,0.89104481,0.050100455,0.949487249,0.022510863,0.050100455,0.022510863,CNV-low
PDS5B,PDS5B-S1283,-0.4385,6.55E-05,4.183716308,0.009960028,2.00173946,-4.183716308,-2.00173946,0.06895,0.89104481,0.050100455,0.949487249,0.022510863,0.050100455,0.022510863,CNV-low
PEX19,PEX19-S147,-0.447,1.00E-04,3.999281603,0.013224896,1.878607731,-3.999281603,-1.878607731,-0.21925,0.076644579,1.115518555,0.21827674,0.66099254,-1.115518555,-0.66099254,CNV-low
PHF14,PHF14-S530,-0.617,3.62E-04,3.441577618,0.029758024,1.526395908,-3.441577618,-1.526395908,0.03945,0.405313161,0.392209294,0.60877413,0.215543811,0.392209294,0.215543811,CNV-low
PHF20,PHF20-S488,-0.4354,1.27E-05,4.897029988,0.003497673,2.456220825,-4.897029988,-2.456220825,-0.0864,0.059801385,1.223288761,0.187846575,0.726196719,-1.223288761,-0.726196719,CNV-low
PHF3,PHF3-S1133,-0.4132725,3.05E-06,5.516050049,0.001241684,2.90598905,-5.516050049,-2.90598905,-0.0999,0.017634852,1.753628183,0.085255705,1.069276549,-1.753628183,-1.069276549,CNV-low
PI4KB,PI4KB-S278,-0.3385,5.64E-04,3.249041383,0.037502577,1.425938887,-3.249041383,-1.425938887,-0.08735,0.088117174,1.054939438,0.238955588,0.621682808,-1.054939438,-0.621682808,CNV-low
PKN1,PKN1-S568,-0.657,6.76E-04,3.170289421,0.042503727,1.371572984,-3.170289421,-1.371572984,-0.04435,0.228036021,0.641996546,0.430314427,0.366214093,-0.641996546,-0.366214093,CNV-low
PLCH1,PLCH1-S970,-0.5345,3.42E-04,3.465721577,0.029034555,1.537084832,-3.465721577,-1.537084832,-0.028,0.656183548,0.182974662,0.801566931,0.096060208,-0.182974662,-0.096060208,CNV-low
POP1,POP1-S730,-0.3325,4.15E-04,3.382443995,0.031885797,1.496402721,-3.382443995,-1.496402721,-0.10155,0.016678008,1.777855831,0.082023301,1.086062756,-1.777855831,-1.086062756,CNV-low
PPP4R2,PPP4R2-S226,-0.546695,3.17E-05,4.49873328,0.006410885,2.193082018,-4.49873328,-2.193082018,-0.09065,0.146500606,0.834160578,0.328917936,0.482912444,-0.834160578,-0.482912444,CNV-low
PRKCZ,PRKCZ-T410,0.5245,7.29E-04,3.137557001,0.044385407,1.352759798,3.137557001,1.352759798,0.0945,0.327377951,0.484950573,0.535456737,0.271275613,0.484950573,0.271275613,CNV-low
PRPF3,PRPF3-S619,-0.2604,1.48E-04,3.829654386,0.016782581,1.775141249,-3.829654386,-1.775141249,-0.068115,0.013807977,1.85986993,0.072643128,1.138805463,-1.85986993,-1.138805463,CNV-low
PRPF38B,PRPF38B-T479,-0.293175,3.17E-05,4.49873328,0.006410885,2.193082018,-4.49873328,-2.193082018,-0.026065,0.193151474,0.714101973,0.389188498,0.409840003,-0.714101973,-0.409840003,CNV-low
PRPF38B,PRPF38B-S471,-0.344,7.64E-04,3.117160804,0.045837673,1.338777434,-3.117160804,-1.338777434,-0.026065,0.193151474,0.714101973,0.389188498,0.409840003,-0.714101973,-0.409840003,CNV-low
PRPF38B,PRPF38B-S527,-0.179475,5.71E-04,3.243437558,0.03768828,1.423793681,-3.243437558,-1.423793681,-0.026065,0.193151474,0.714101973,0.389188498,0.409840003,-0.714101973,-0.409840003,CNV-low
PRPF38B,PRPF38B-S475,-0.220225,1.48E-04,3.829673724,0.016782581,1.775141249,-3.829673724,-1.775141249,-0.026065,0.193151474,0.714101973,0.389188498,0.409840003,-0.714101973,-0.409840003,CNV-low
PRRC2A,PRRC2A-S380,-0.2425275,1.38E-04,3.859682446,0.016288286,1.788124623,-3.859682446,-1.788124623,-0.084963,0.016521682,1.78194573,0.0816312,1.088143821,-1.78194573,-1.088143821,CNV-low
PTPN21,PTPN21-S711,0.3515,3.92E-04,3.406544348,0.031052611,1.507901878,3.406544348,1.507901878,0.2068,0.084401895,1.073647801,0.232379803,0.63380162,1.073647801,0.63380162,CNV-low
PTPN21,PTPN21-S577,0.4789,4.75E-04,3.322931395,0.035085452,1.454872928,3.322931395,1.454872928,0.2068,0.084401895,1.073647801,0.232379803,0.63380162,1.073647801,0.63380162,CNV-low
PTPN21,PTPN21-S710,0.3515,3.92E-04,3.406544348,0.031052611,1.507901878,3.406544348,1.507901878,0.2068,0.084401895,1.073647801,0.232379803,0.63380162,1.073647801,0.63380162,CNV-low
PWWP2A,PWWP2A-S525,-0.985,6.93E-04,3.158983467,0.043259473,1.363918776,-3.158983467,-1.363918776,-0.041035,0.837204146,0.07716863,0.917193398,0.03753908,-0.07716863,-0.03753908,CNV-low
RAB13,RAB13-S178,-0.3105,8.72E-04,3.059698522,0.049417471,1.306119488,-3.059698522,-1.306119488,-0.229535,0.011382695,1.943754887,0.064372046,1.191302688,-1.943754887,-1.191302688,CNV-low
RAD9A,RAD9A-S336,-0.2488,2.90E-04,3.537212625,0.026126393,1.582920537,-3.537212625,-1.582920537,-0.04965,0.120010234,0.920781717,0.291252907,0.535729731,-0.920781717,-0.535729731,CNV-low
RANBP2,RANBP2-T2743,-0.387625,3.30E-05,4.481494448,0.006602255,2.180307696,-4.481494448,-2.180307696,-0.09245,0.173973934,0.759515815,0.365080978,0.437610795,-0.759515815,-0.437610795,CNV-low
RB1,RB1-T356,-0.63935,4.95E-05,4.305099616,0.008286427,2.081632687,-4.305099616,-2.081632687,-0.25655,0.018468875,1.733559557,0.08790435,1.055989632,-1.733559557,-1.055989632,CNV-low
RB1,RB1-T373,-0.40735,2.51E-04,3.599599078,0.023670001,1.625801731,-3.599599078,-1.625801731,-0.25655,0.018468875,1.733559557,0.08790435,1.055989632,-1.733559557,-1.055989632,CNV-low
RB1,RB1-T826,-0.37355,3.18E-04,3.49764712,0.027728263,1.557077336,-3.49764712,-1.557077336,-0.25655,0.018468875,1.733559557,0.08790435,1.055989632,-1.733559557,-1.055989632,CNV-low
RBBP5,RBBP5-S497,-0.87475,8.90E-07,6.050694773,5.46E-04,3.26284273,-6.050694773,-3.26284273,-0.01175,0.465740915,0.331855608,0.661670378,0.179358308,-0.331855608,-0.179358308,CNV-low
RBM12,RBM12-S375,-0.3214,6.81E-05,4.166945779,0.010203424,1.991254055,-4.166945779,-1.991254055,-0.06255,0.244285238,0.612102776,0.447746252,0.348968041,-0.612102776,-0.348968041,CNV-low
RBM15,RBM15-S741,-0.44055,1.75E-05,4.756464234,0.004269657,2.36960704,-4.756464234,-2.36960704,-0.08255,0.024671829,1.607798654,0.105520056,0.976664989,-1.607798654,-0.976664989,CNV-low
RLIM,RLIM-S276,-0.3595,3.75E-04,3.425394314,0.030225205,1.519630741,-3.425394314,-1.519630741,-0.0305,0.373266289,0.427981231,0.582267349,0.234877562,-0.427981231,-0.234877562,CNV-low
RNF168,RNF168-S470,-0.3795,3.48E-05,4.458516254,0.006821393,2.166126923,-4.458516254,-2.166126923,-0.13715,0.044943564,1.347332492,0.154682718,0.810558206,-1.347332492,-0.810558206,CNV-low
RPA1,RPA1-S384,-0.734,4.87E-06,5.312828497,0.001774624,2.750893566,-5.312828497,-2.750893566,-0.07571,0.334188847,0.476008048,0.543302344,0.264958421,-0.476008048,-0.264958421,CNV-low
RPL30,RPL30-S10,-0.4215,4.90E-04,3.309961805,0.035506536,1.449691696,-3.309961805,-1.449691696,-0.1596,0.071115982,1.148032787,0.208245818,0.681423711,-1.148032787,-0.681423711,CNV-low
RPLP2,RPLP2-S17,-0.7319,2.32E-05,4.634367274,0.005262303,2.278824142,-4.634367274,-2.278824142,-0.0983,0.041580512,1.381110169,0.147771447,0.830409474,-1.381110169,-0.830409474,CNV-low
RPS27,RPS27-S11,-0.3935,4.09E-05,4.388763371,0.007475887,2.126337263,-4.388763371,-2.126337263,-0.0515,0.152303044,0.817291416,0.337166567,0.472155497,-0.817291416,-0.472155497,CNV-low
RRBP1,RRBP1-S185,-0.552405,4.96E-04,3.304203602,0.035754343,1.4466712,-3.304203602,-1.4466712,-0.0866,0.411140173,0.386010086,0.613928393,0.211882281,-0.386010086,-0.211882281,CNV-low
RREB1,RREB1-S1122,-0.3592,2.72E-04,3.564818671,0.024936239,1.603169043,-3.564818671,-1.603169043,-0.0295,0.678604809,0.168383067,0.818576294,0.086940836,-0.168383067,-0.086940836,CNV-low
RSF1,RSF1-S397,-0.7665,3.17E-04,3.498759064,0.027728263,1.557077336,-3.498759064,-1.557077336,-0.0978,0.09811514,1.00826397,0.255299185,0.592950572,-1.00826397,-0.592950572,CNV-low
RSPH3,RSPH3-T243,0.545,1.55E-04,3.810362364,0.017208213,1.764264238,3.810362364,1.764264238,0.519,0.053427632,1.272234073,0.174645394,0.757842863,1.272234073,0.757842863,CNV-low
RSPH4A,RSPH4A-S31,0.758325,7.65E-06,5.116226345,0.002448257,2.611142981,5.116226345,2.611142981,0.612,0.048341402,1.315680762,0.162899352,0.788080644,1.315680762,0.788080644,CNV-low
RUBCN,RUBCN-S197,-0.311,5.36E-04,3.271024266,0.036548429,1.437131285,-3.271024266,-1.437131285,0.05605,0.847574986,0.071821869,0.924053885,0.034302703,0.071821869,0.034302703,CNV-low
S100PBP,S100PBP-S72,-0.4765,2.66E-04,3.575813564,0.024600787,1.609050991,-3.575813564,-1.609050991,-0.11548,0.050947578,1.292876457,0.168949104,0.772244108,-1.292876457,-0.772244108,CNV-low
S100PBP,S100PBP-S73,-0.4265,6.57E-04,3.182637713,0.041562919,1.381293957,-3.182637713,-1.381293957,-0.11548,0.050947578,1.292876457,0.168949104,0.772244108,-1.292876457,-0.772244108,CNV-low
SACS,SACS-S4264,0.287,2.91E-04,3.536088202,0.026126393,1.582920537,3.536088202,1.582920537,0.14495,0.086848138,1.061239487,0.236605113,0.625975874,1.061239487,0.625975874,CNV-low
SASH3,SASH3-S117,-0.4474,7.81E-04,3.107508139,0.046380634,1.333663317,-3.107508139,-1.333663317,-0.12902,0.040239144,1.395351268,0.144823336,0.839161452,-1.395351268,-0.839161452,CNV-low
SEC16A,SEC16A-T1427,0.756,1.23E-04,3.910912256,0.015244368,1.816890578,3.910912256,1.816890578,0.086,0.04894325,1.310307198,0.164107416,0.784871793,1.310307198,0.784871793,CNV-low
SETD1B,SETD1B-T1005,0.2764,4.72E-04,3.326268293,0.034964538,1.456372202,3.326268293,1.456372202,0.103,0.060565858,1.217772127,0.189102418,0.723302918,1.217772127,0.723302918,CNV-low
SETD2,SETD2-S131,-0.3001,4.46E-06,5.350940199,0.001660362,2.779797267,-5.350940199,-2.779797267,-0.05797,0.070051125,1.154584887,0.206413666,0.685261553,-1.154584887,-0.685261553,CNV-low
SETD2,SETD2-S461,-0.22335,8.51E-04,3.070281542,0.048747016,1.312051966,-3.070281542,-1.312051966,-0.05797,0.070051125,1.154584887,0.206413666,0.685261553,-1.154584887,-0.685261553,CNV-low
SF3B1,SF3B1-S488,-0.585,1.74E-05,4.759906989,0.004255831,2.371015624,-4.759906989,-2.371015624,-0.13325,0.008799089,2.055562271,0.05379521,1.269256392,-2.055562271,-1.269256392,CNV-low
