ID,FoldChange.protein,pval.protein,logp.protein,signedlogp.protein,FDR.protein,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
CHMP2A,-0.163,0.382215192,0.417692055,-0.417692055,0.587560086,-0.04,0.955325316,0.019848713,-0.019848713,0.977059544
CHMP2B,0.0022,0.827073629,0.082455826,0.082455826,0.910669831,0.075,0.78369044,0.105855451,0.105855451,0.881350835
CHMP3,-0.1255,0.112917756,0.94723776,-0.94723776,0.278971491,-0.12,0.370032331,0.431760328,-0.431760328,0.574165196
CHMP4A,0.2257,0.232830621,0.632959903,0.632959903,0.436339597,0.17,0.203438206,0.691567482,0.691567482,0.39469527
CHMP4B,0.352,1.63E-04,3.786800704,3.786800704,0.004063776,0.375,0.007166778,2.144676045,2.144676045,0.041364742
CHMP4C,-0.400187,0.059068089,1.228647076,-1.228647076,0.18254552,-0.18,0.762276476,0.117887483,-0.117887483,0.868310149
CHMP5,0.0886,0.391426793,0.407349451,0.407349451,0.595160593,-0.01,0.796637258,0.098739386,-0.098739386,0.887910174
CHMP6,-0.1394,0.466495663,0.33115239,-0.33115239,0.660941423,0.225,0.028081769,1.551575541,1.551575541,0.104777529
CHMP7,-0.153,0.123464985,0.908456191,-0.908456191,0.295382376,-0.285,0.211526223,0.674635786,-0.674635786,0.403904036
CHN1,0.1707,0.164787727,0.783075138,0.783075138,0.353394027,0.93,0.028503447,1.545102619,1.545102619,0.105674666
CHN2,-0.74535,0.016834484,1.7738002,-1.7738002,0.08139414,-1.21,8.81E-05,4.054883988,-4.054883988,0.002455345
CHORDC1,0.2997,0.034231177,1.465578174,1.465578174,0.12886081,0.025,0.563945531,0.248762841,0.248762841,0.739129782
CHP1,-0.018905,0.906360598,0.042698983,-0.042698983,0.952754501,-0.72,0.00474786,2.323502056,-2.323502056,0.03118257
CHPF,0.04595,0.682609145,0.165827898,0.165827898,0.817668297,-0.315,0.103065959,0.98688475,-0.98688475,0.251871913
CHPF2,-0.07085,0.862145636,0.064419366,-0.064419366,0.930418037,-0.03,0.508573533,0.293646245,-0.293646245,0.693196268
CHRAC1,0.22845,0.100753574,0.996739539,0.996739539,0.25960936,0.335,0.010283099,1.987875999,1.987875999,0.052423612
CHRD,0.13,0.14991706,0.824148944,0.824148944,0.33160924,-0.145,0.753755985,0.122769227,-0.122769227,0.863968323
CHRDL1,-0.104,0.460395909,0.336868544,-0.336868544,0.656325219,1.64,0.067834856,1.168547094,1.168547094,0.190962942
CHRDL2,-0.241,0.417052076,0.379809713,-0.379809713,0.618599411,1.53,0.393178638,0.405410086,0.405410086,0.595282173
CHST14,-0.1699,0.199584976,0.699872153,-0.699872153,0.396620244,-0.355,0.059797685,1.223315629,-1.223315629,0.175036662
CHST3,-0.3265,0.04466108,1.350070775,-1.350070775,0.151961963,-0.43,0.04863351,1.313064385,-1.313064385,0.151955343
CHST6,-1.251,1.79E-04,3.747893724,-3.747893724,0.004270761,-1.695,1.67E-04,3.777220489,-3.777220489,0.003653479
CHSY1,-0.2386,0.052111234,1.283068642,-1.283068642,0.167632013,-0.125,0.487287238,0.312214963,-0.312214963,0.674532873
CHTF18,0.451,0.007542788,2.122468112,2.122468112,0.047758505,0.45,6.20E-04,3.207662992,3.207662992,0.008230272
CHTF8,0.5805,0.028464018,1.545703799,1.545703799,0.114486541,0.085,0.796596167,0.098761788,0.098761788,0.887910174
CHTOP,-0.1377,0.226312803,0.645290876,-0.645290876,0.429954897,0.27,0.031000302,1.508634076,1.508634076,0.111855422
CHUK,-0.03845,0.279665584,0.553360975,-0.553360975,0.486322808,0,0.699093681,0.155464623,0,0.834723974
CHURC1,0.4455,0.081682934,1.087868669,1.087868669,0.226809561,-0.385,0.023966499,1.62039541,-1.62039541,0.093571762
CIAO1,0.03655,0.407100037,0.390298858,0.390298858,0.610826748,0.24,7.27E-04,3.138532391,3.138532391,0.009132018
CIAO2A,0.1736,0.107923428,0.966884268,0.966884268,0.270813906,-0.1,0.594557539,0.225806109,-0.225806109,0.764314508
CIAO2B,0.12065,0.294888026,0.530342861,0.530342861,0.501522421,0.41,0.145229806,0.837944243,0.837944243,0.316475385
CIAO3,-0.1781,0.059068089,1.228647076,-1.228647076,0.18254552,-0.16,0.403855555,0.393773939,-0.393773939,0.605568958
CIAPIN1,-0.11476,0.300081023,0.522761468,-0.522761468,0.506866096,0.045,0.39133395,0.407452473,0.407452473,0.595116665
CIB1,-0.7075,3.16E-05,4.500739712,-4.500739712,0.001574047,-0.85,3.16E-04,3.500647068,-3.500647068,0.005341836
CIC,-0.0398,0.456276626,0.340771779,-0.340771779,0.651891111,0.345,0.143695756,0.842556059,0.842556059,0.314128145
CILP,-0.0325,0.715787983,0.145215597,-0.145215597,0.839539232,-0.805,0.779421409,0.108227669,-0.108227669,0.878846076
CINP,0.098177,0.995143002,0.002114507,0.002114507,0.999385303,0.055,0.719942043,0.142702464,0.142702464,0.846765258
CIP2A,0.926,8.03E-06,5.10E+00,5.095154892,8.09E-04,1.435,3.42E-06,5.466119812,5.466119812,4.68E-04
CIR1,0.1962,0.014371584,1.842495362,1.842495362,0.073574468,0.105,0.541409224,0.26647435,0.26647435,0.719628249
CIRBP,-0.3377,0.031925268,1.495865448,-1.495865448,0.122906235,-0.73,1.31E-05,4.882573011,-4.882573011,8.43E-04
CISD1,-0.17345,0.207553873,0.682869157,-0.682869157,0.407453002,-0.045,0.678483895,0.168460456,-0.168460456,0.819634656
CISD2,-0.14445,0.946409077,0.023921103,-0.023921103,0.975279068,0.02,0.423072809,0.373584886,0.373584886,0.622369791
CISD3,0.2265,0.650036058,0.187062552,0.187062552,0.797624699,0.185,0.11416146,0.942480487,0.942480487,0.269708239
CIT,0.2435,0.007542788,2.122468112,2.122468112,0.047758505,0.745,0.001069937,2.97064184,2.97064184,0.011648899
CITED4,-0.7525,0.048673278,1.312709405,-1.312709405,0.160761327,-1.375,6.46E-04,3.18952328,-3.18952328,0.008438221
CIZ1,-0.0666,0.590760192,0.228588777,-0.228588777,0.76033432,-0.175,0.189867359,0.72154969,-0.72154969,0.377425834
CKAP2,0.7545,1.40E-05,4.854713094,4.854713094,0.001021105,0.7,0.012278191,1.910865617,1.910865617,0.059189326
CKAP2L,1.0736,0.006237089,2.205018071,2.205018071,0.042360739,1.39,1.15E-05,4.937480842,4.937480842,8.09E-04
CKAP4,-0.0435,0.373131369,0.428138239,-0.428138239,0.578612855,-0.325,0.019483685,1.710328903,-1.710328903,0.081923546
CKAP5,0.1675,0.004433163,2.353286279,2.353286279,0.033541183,0.6,0.001704912,2.768297989,2.768297989,0.01570847
CKB,-0.417,0.361225727,0.442221327,-0.442221327,0.567106701,-0.66,0.349549303,0.45649156,-0.45649156,0.554163887
CKMT1A,0.1635,1,0,0,1,0.595,0.626015582,0.203414857,0.203414857,0.783445138
CKMT2,0.028,0.853348563,0.068873538,0.068873538,0.924967991,0.085,0.933036186,0.030101513,0.030101513,0.964640482
CKS1B,0.9588,1.71E-04,3.767173932,3.767173932,0.004151632,0.97,2.17E-05,4.662640781,4.662640781,0.001149727
CKS2,0.1786,0.168994176,0.772128261,0.772128261,0.359000403,-0.05,0.419882743,0.376871974,-0.376871974,0.61953972
CLASP1,0.3545,3.84E-05,4.416022296,4.416022296,0.001793003,0.22,0.00573389,2.241550638,2.241550638,0.03539903
CLASP2,-0.07715,0.432919991,0.363592359,-0.363592359,0.631485699,-0.065,0.452786714,0.344106325,-0.344106325,0.646112659
CLASRP,0.2886,8.95E-04,3.048321691,3.048321691,0.011645259,0.26,0.024660874,1.60799153,1.60799153,0.095499401
CLC,1.113,0.051933204,1.284554884,1.284554884,0.167217563,1.395,0.004660857,2.331534205,2.331534205,0.030829678
CLCA4,-0.747,0.015988108,1.796202914,-1.796202914,0.079009475,-3.88,2.23E-04,3.651985321,-3.651985321,0.00436173
CLCC1,-0.18115,0.21162375,0.674435593,-0.674435593,0.412550093,-0.135,0.070357581,1.152689104,-1.152689104,0.195498867
CLCN3,-0.3688,0.002629768,2.580082618,-2.580082618,0.02363782,-0.62,2.13E-04,3.671744714,-3.671744714,0.004227869
CLCN5,0.064,0.656902401,0.182499151,0.182499151,0.802606958,0.85,0.014363043,1.842753527,1.842753527,0.065812114
CLCN7,-0.0741385,0.901924275,0.044829924,-0.044829924,0.951175173,0.27,0.074831504,1.125915523,1.125915523,0.204165134
CLDN1,1.795,0.213943441,0.669701023,0.669701023,0.415740571,1.865,0.009814901,2.00811406,2.00811406,0.050651552
CLDN10,-1.255,0.005261404,2.27889836,-2.27889836,0.037425253,-1.295,0.079555675,1.099328835,-1.099328835,0.212502154
CLDN3,0.1545,0.933038758,0.030100316,0.030100316,0.968139778,0.185,0.292254295,0.534239098,0.534239098,0.497400372
CLDN4,-0.17605,0.610624183,0.214226,-0.214226,0.772479068,0.105,0.745257922,0.127693399,0.127693399,0.857650947
CLDN6,1.9,0.003350623,2.474874494,2.474874494,0.027821702,2.755,0.040349138,1.394165742,1.394165742,0.133375498
CLDN7,-0.5625,0.002830706,2.54810519,-2.54810519,0.02500618,0.185,0.67848602,0.168459096,0.168459096,0.819634656
CLDND1,-0.2511,0.342084178,0.465867013,-0.465867013,0.550551677,0.305,0.001276393,2.894015745,2.894015745,0.013016107
CLEC11A,-0.1545,0.237243628,0.624805442,-0.624805442,0.440585802,-0.54,0.282137642,0.549538968,-0.549538968,0.487500456
CLEC14A,0.28465,0.590838986,0.228530856,0.228530856,0.760341373,-0.145,0.844564735,0.073367056,-0.073367056,0.91491851
CLEC16A,-0.2095,0.001675762,2.77578776,-2.77578776,0.017501837,0.315,0.025021461,1.601687338,1.601687338,0.096532262
CLEC3B,0.042,0.483817746,0.315318206,0.315318206,0.675419264,-0.765,0.26258581,0.580728747,-0.580728747,0.466865364
CLGN,0.4165,0.866548766,0.062206992,0.062206992,0.93351944,0.455,0.476835993,0.32163097,0.32163097,0.666236921
CLIC1,0.1177,0.191849598,0.717039107,0.717039107,0.386948329,0.075,0.161348129,0.792236067,0.792236067,0.339000573
CLIC2,0.1272,0.452900601,0.343997103,0.343997103,0.648850964,0.09,0.788010746,0.10346786,0.10346786,0.884155787
CLIC3,-0.33655,0.199584976,0.699872153,-0.699872153,0.396620244,-0.855,0.099590638,1.001781486,-1.001781486,0.246427845
CLIC4,0.082,0.452900601,0.343997103,0.343997103,0.648850964,0.205,0.126187212,0.898984656,0.898984656,0.287841244
CLIC5,-0.917,2.78E-04,3.556573508,-3.556573508,0.005646005,-1.655,0.002064124,2.685264226,-2.685264226,0.017824958
CLIC6,-0.4676,0.087558049,1.057703923,-1.057703923,0.237574735,-1.78,0.044331894,1.353283711,-1.353283711,0.142263913
CLINT1,-0.2238,0.009815158,2.008102687,-2.008102687,0.056776913,0.085,0.728358354,0.137654894,0.137654894,0.846765258
CLIP1,-0.0434,0.53410389,0.272374259,-0.272374259,0.71686184,-0.335,0.049258511,1.307518721,-1.307518721,0.153414007
CLIP2,0.30312,0.038739845,1.411842119,1.411842119,0.138982779,1.09,0.00405822,2.39166443,2.39166443,0.02818658
CLK1,0.1874,0.277748305,0.556348582,0.556348582,0.48542765,-0.215,0.038722123,1.412040842,-1.412040842,0.129692956
CLK2,0.207,0.010139501,1.993983407,1.993983407,0.058161929,0.145,0.23059226,0.637155273,0.637155273,0.428254646
CLK3,0.166251,0.137704766,0.861051029,0.861051029,0.315692587,-0.27,0.153082446,0.815074608,-0.815074608,0.327375325
CLK4,0.01406,1,0,0,1,-0.295,0.036147687,1.441919481,-1.441919481,0.124179902
CLMN,-0.3311,0.016261093,1.78885026,-1.78885026,0.079548961,-0.315,0.036159418,1.441778571,-1.441778571,0.124179902
CLN5,0.055,0.466498782,0.331149486,0.331149486,0.660941423,-0.02,0.813985388,0.089383391,-0.089383391,0.897105196
CLNS1A,0.2641,0.072169,1.141649314,1.141649314,0.208776763,0.03,0.279559551,0.553525665,0.553525665,0.485166816
CLOCK,-0.1342,0.061497437,1.211142987,-1.211142987,0.188138618,-0.395,0.003708074,2.430851601,-2.430851601,0.026482695
CLP1,0.143,0.112921536,0.947223222,0.947223222,0.278971491,0.205,0.207479116,0.683025611,0.683025611,0.399715608
CLPB,0.1075,0.552680155,0.257526129,0.257526129,0.731196057,0.285,0.041986784,1.376887386,1.376887386,0.137180174
CLPP,-0.11895,0.637985051,0.195189498,-0.195189498,0.790318079,-0.085,0.567703349,0.245878544,-0.245878544,0.742679278
CLPTM1,-0.031,0.541491311,0.266408508,-0.266408508,0.721833558,0.335,0.101858938,0.992000858,0.992000858,0.250194692
CLPTM1L,0.2449,0.099595377,1.001760818,1.001760818,0.258228987,0.22,0.002984035,2.525196141,2.525196141,0.022994924
CLPX,0.116,0.361219005,0.442229408,0.442229408,0.567106701,-0.29,0.009032286,2.044202334,-2.044202334,0.048247604
CLSTN1,0.0863,0.282161221,0.549502674,0.549502674,0.489270851,0.175,0.131843348,0.879941776,0.879941776,0.296515406
CLSTN3,0.16955,0.144246158,0.840895745,0.840895745,0.324647766,0.555,0.003042182,2.516814849,2.516814849,0.023284398
CLTA,-0.176615,0.034707786,1.459573089,-1.459573089,0.129676066,-0.395,0.00226445,2.645037347,-2.645037347,0.019007294
CLTB,-0.3595,0.001551992,2.80911045,-2.80911045,0.016627801,-0.605,0.003579571,2.446169045,-2.446169045,0.025914751
CLTC,-0.134725,0.044929222,1.347471104,-1.347471104,0.152279905,0.165,0.207410705,0.683168832,0.683168832,0.399715608
CLTCL1,-0.11105,0.120593179,0.918677257,-0.918677257,0.290787597,0.735,0.008890166,2.051090147,2.051090147,0.047864243
CLU,-0.404,0.164783293,0.783086823,-0.783086823,0.353394027,-0.4,0.426373172,0.370210129,-0.370210129,0.625364206
CLUAP1,-0.26,0.002882397,2.540246239,-2.540246239,0.025338511,-0.71,0.001204297,2.919266515,-2.919266515,0.012508278
CLUH,0.4245,0.010813877,1.966018571,1.966018571,0.060888412,0.455,0.019490076,1.71018646,1.71018646,0.081923546
CLYBL,-0.2515,0.338145133,0.470896859,-0.470896859,0.546246601,-0.195,0.766548926,0.115460121,-0.115460121,0.871027889
CMA1,0.2985,0.466500342,0.331148034,0.331148034,0.660941423,-0.215,0.590158582,0.229031273,-0.229031273,0.761186603
CMAS,-0.17,0.57538237,0.240043449,-0.240043449,0.749190763,0.09,0.234949501,0.629025472,0.629025472,0.434294791
CMBL,-0.5845,0.029335115,1.532612202,-1.532612202,0.11683803,-0.22,0.054620002,1.26264829,-1.26264829,0.164660637
CMC1,-0.2562,0.519464927,0.284443769,-0.284443769,0.704607821,-0.05,0.674366665,0.171103906,-0.171103906,0.817204592
CMC2,-0.15908,0.586898383,0.231437087,-0.231437087,0.756586291,0,0.933028001,0.030105322,0,0.964640482
CMC4,-0.1125,0.515842507,0.287482874,-0.287482874,0.702169984,-0.135,0.796642827,0.09873635,-0.09873635,0.887910174
CMIP,-0.1935,0.065347312,1.184772269,-1.184772269,0.195203422,-0.54,0.04490673,1.347688564,-1.347688564,0.143656475
CMPK1,-0.4475,0.051259361,1.290226812,-1.290226812,0.165975422,-0.475,0.037167533,1.42983626,-1.42983626,0.126438213
CMPK2,0.745,5.48E-04,3.261201407,3.261201407,0.008574388,1.22,0.001277749,2.893554463,2.893554463,0.013016107
CMSS1,0.9485,8.99E-07,6.05E+00,6.046055274,3.84E-04,1.21,2.88E-07,6.541274939,6.541274939,2.01E-04
CMTM4,-0.369,0.082486931,1.083614854,-1.083614854,0.228436747,0.205,0.095045203,1.022069799,1.022069799,0.239229381
CMTM6,0.16226,0.379908878,0.420320557,0.420320557,0.586053097,-0.175,0.416652034,0.380226494,-0.380226494,0.616692548
CMTM8,0.039,0.519395222,0.28450205,0.28450205,0.704607821,-0.655,0.003845599,2.41503598,-2.41503598,0.027138239
CMTR1,0.5702,2.34E-06,5.63E+00,5.631608975,4.94E-04,0.49,9.74E-07,6.011455224,6.011455224,3.34E-04
CMTR2,-0.07475,1,0,0,1,-0.505,0.020990804,1.677970932,-1.677970932,0.085722134
CNBP,0.4472,0.026926779,1.569815595,1.569815595,0.110300075,0.43,1.41E-05,4.850551086,4.850551086,8.83E-04
CNDP1,0.022,0.719973964,0.142683208,0.142683208,0.842953171,0.535,0.173439015,0.760853202,0.760853202,0.355664335
CNDP2,-0.4825,0.069544282,1.157738572,-1.157738572,0.204200338,-0.17,0.361175309,0.442281947,-0.442281947,0.565097163
CNIH4,0.16801,0.563976905,0.24873868,0.24873868,0.739820215,0.15,0.394491799,0.403962021,0.403962021,0.59618089
CNKSR1,-0.12026,0.579208729,0.237164902,-0.237164902,0.750781311,0.145,0.116749761,0.932743998,0.932743998,0.273746658
CNKSR3,-0.4673,0.001464597,2.834281768,-2.834281768,0.016073992,-0.33,0.364128796,0.438744974,-0.438744974,0.568165291
CNN1,0.7175,0.766555272,0.115456525,0.115456525,0.872000328,0.55,0.933039225,0.030100098,0.030100098,0.964640482
CNN2,0.0811,0.715789885,0.145214443,0.145214443,0.839539232,-0.51,0.089634997,1.047522392,-1.047522392,0.230292114
CNN3,-0.204,0.818357887,0.087056728,-0.087056728,0.906170844,-0.32,0.143722397,0.842475549,-0.842475549,0.314128145
CNNM2,0.01838,0.468875253,0.328942689,0.328942689,0.66327381,-0.28,0.146800466,0.833272566,-0.833272566,0.318769932
CNNM3,0.00625,0.848956218,0.071114707,0.071114707,0.923101971,-0.02,0.406975237,0.390432015,-0.390432015,0.608718942
CNNM4,-0.1919515,0.800991564,0.096372058,-0.096372058,0.894679337,0.535,5.83E-04,3.23464662,3.23464662,0.007907965
CNOT1,0.0834,0.222039428,0.6535699,0.6535699,0.42518856,-0.125,0.197431186,0.704584245,-0.704584245,0.387332886
CNOT10,-0.0016,0.534098166,0.272378913,-0.272378913,0.71686184,-0.145,0.456183613,0.340860319,-0.340860319,0.649042221
CNOT11,-0.05325,0.397654364,0.400494247,-0.400494247,0.601184372,-0.21,0.080496017,1.094225608,-1.094225608,0.214223839
CNOT2,0.040531,0.800990882,0.096372428,0.096372428,0.894679337,0.015,0.757958761,0.120354423,0.120354423,0.866125102
CNOT3,0.12655,0.140704047,0.851693412,0.851693412,0.320012299,0.5,0.041441117,1.382568547,1.382568547,0.135903663
CNOT4,-0.1199,0.766563204,0.115452031,-0.115452031,0.872000328,-0.245,0.032798754,1.484142654,-1.484142654,0.116242365
CNOT6,-0.1391,0.955297845,0.019861202,-0.019861202,0.980575408,-0.14,0.021299774,1.671625,-1.671625,0.086616001
CNOT6L,-0.04795,0.248542315,0.60459966,-0.60459966,0.453412405,-0.08,0.466451984,0.331193055,-0.331193055,0.65793616
CNOT7,0.0195,0.906360598,0.042698983,0.042698983,0.952754501,0.02,0.924126959,0.03426836,0.03426836,0.960608962
CNOT8,-0.173,0.250846488,0.600591975,-0.600591975,0.455060438,-0.305,0.002021435,2.694340199,-2.694340199,0.017577888
CNOT9,0.00299,0.413466956,0.383559194,0.383559194,0.615305754,-0.11,0.977652175,0.009815629,-0.009815629,0.98901722
CNP,-0.0925,0.715784177,0.145217906,-0.145217906,0.839539232,-0.02,0.618041563,0.208982318,-0.208982318,0.778173072
CNPY2,-0.013,0.515842507,0.287482874,-0.287482874,0.702169984,0.22,0.302633422,0.519083112,0.519083112,0.508447957
CNPY3,0.0389,0.610240979,0.214498632,0.214498632,0.772091633,0.365,0.052573896,1.279229842,1.279229842,0.160260661
CNPY4,-0.411,0.029753249,1.526465601,-1.526465601,0.11795979,-0.17,0.161381868,0.792145263,-0.792145263,0.339000573
CNRIP1,0.018,0.827071247,0.082457077,0.082457077,0.910669831,-0.075,0.9642564,0.01580747,-0.01580747,0.982303855
CNST,0.0732,0.512228857,0.290535958,0.290535958,0.698722441,0.165,0.403822639,0.393809337,0.393809337,0.605568958
CNTLN,0.141,0.826548345,0.08273174,0.08273174,0.910669831,-0.32,0.021957496,1.658417193,-1.658417193,0.088027733
CNTN1,0.048,0.711610557,0.147757618,0.147757618,0.837508294,-0.335,0.343820305,0.463668479,-0.463668479,0.549717023
CNTN4,-0.57865,0.154803868,0.810218191,-0.810218191,0.33885624,-0.385,0.226304679,0.645306467,-0.645306467,0.42322658
CNTNAP1,-0.008,0.868564218,0.061198066,-0.061198066,0.935494808,-0.005,0.76227809,0.117886563,-0.117886563,0.868310149
CNTRL,-0.2445,0.029336248,1.532595428,-1.532595428,0.11683803,-0.66,2.34E-05,4.630570857,-4.630570857,0.001153118
CNTROB,-0.0815,0.501474983,0.299750728,-0.299750728,0.690037492,0.03,0.508575017,0.293644977,0.293644977,0.693196268
COA1,0.372,0.125281957,0.902111472,0.902111472,0.298689465,0.01,0.924117954,0.034272592,0.034272592,0.960608962
COA3,0.0379,0.82707482,0.082455201,0.082455201,0.910669831,0.025,0.853339937,0.068877929,0.068877929,0.919669736
COA4,-0.158,0.307981717,0.511475064,-0.511475064,0.515259872,0.08,0.728309946,0.137683759,0.137683759,0.846765258
COA5,-0.2701,0.051259361,1.290226812,-1.290226812,0.165975422,0.055,0.364026353,0.438867175,0.438867175,0.568165291
COA6,-0.14525,0.040902964,1.388245216,-1.388245216,0.143224198,0.045,0.397606465,0.400546563,0.400546563,0.599318617
COA7,0.325,0.436216666,0.360297746,0.360297746,0.633973703,0.555,0.00248545,2.604595052,2.604595052,0.020251121
COASY,-0.4589,0.007054191,2.151552758,-2.151552758,0.045583233,0.005,0.96425365,0.015808709,0.015808709,0.982303855
COBL,-0.776,1.56E-04,3.80629734,-3.80629734,0.003971086,-1.165,7.45E-04,3.127673604,-3.127673604,0.009246656
COBLL1,0.02655,0.977656398,0.009813753,0.009813753,0.991228559,0.235,0.982123777,0.007833775,0.007833775,0.991635816
COCH,0.2735505,0.715898481,0.145148559,0.145148559,0.839539232,-0.575,0.12209455,0.913303721,-0.913303721,0.281337646
COG1,-0.46,1.42E-05,4.848417851,-4.848417851,0.001021105,-0.205,0.186147911,0.730141833,-0.730141833,0.372416069
COG2,-0.347,5.91E-05,4.228074589,-4.228074589,0.00226348,-0.18,0.361148415,0.442314287,-0.442314287,0.565097163
COG3,-0.438,2.47E-05,4.607916358,-4.607916358,0.001353451,-0.515,7.65E-05,4.116354215,-4.116354215,0.002244263
COG4,-0.2801,0.001158733,2.936016579,-2.936016579,0.013861247,-0.115,0.205438022,0.687319176,-0.687319176,0.397541567
COG5,-0.367,8.99E-07,6.05E+00,-6.046017183,3.84E-04,-0.22,0.021303406,1.671550958,-1.671550958,0.086616001
COG6,-0.3845,3.31E-05,4.479537766,-4.479537766,0.001614204,-0.435,0.038187312,1.418080912,-1.418080912,0.128475842
COG7,-0.3915,4.73E-06,5.33E+00,-5.325086007,6.54E-04,-0.445,2.60E-04,3.585396559,-3.585396559,0.004740902
COG8,-0.39985,1.40E-04,3.855322693,-3.855322693,0.003701217,-0.07,0.262448823,0.58095537,-0.58095537,0.466865364
COIL,0.009,0.205537969,0.687107939,0.687107939,0.404955097,0.08,0.452816774,0.344077493,0.344077493,0.646112659
COL12A1,0.0485,0.583045673,0.234297423,0.234297423,0.754434688,-0.455,0.14525938,0.837855815,-0.837855815,0.316475385
COL14A1,0.2345,0.745264807,0.127689387,0.127689387,0.858704017,-0.515,0.436208638,0.360305739,-0.360305739,0.633544468
COL15A1,0.3225,0.552675985,0.257529406,0.257529406,0.731196057,0.06,0.893057787,0.049120439,0.049120439,0.942026399
COL18A1,0.9775,0.024693078,1.60742478,1.60742478,0.104359057,0.575,0.006261158,2.203345368,2.203345368,0.037673291
COL1A1,-0.574,0.563971449,0.248742882,-0.248742882,0.739820215,0.01,0.703269955,0.152877936,0.152877936,0.837895607
COL1A2,-1.049,0.13475905,0.870442061,-0.870442061,0.311559713,-0.02,0.707431057,0.150315878,-0.150315878,0.841141871
COL21A1,-0.417,0.39125247,0.407542907,-0.407542907,0.595160593,-2.25,0.003581558,2.445928007,-2.445928007,0.025914751
COL28A1,-0.415,0.101918874,0.991745384,-0.991745384,0.261701676,-2.33,4.02E-06,5.395531039,-5.395531039,5.05E-04
COL2A1,-0.4715,0.594629781,0.225753344,-0.225753344,0.761823219,-1.445,0.272255679,0.565023052,-0.565023052,0.476940889
COL3A1,-0.0275,0.741033433,0.130162198,-0.130162198,0.855276013,0.195,0.403904919,0.393720858,0.393720858,0.605568958
COL4A1,0.53295,0.029335682,1.532603815,1.532603815,0.11683803,0.57,0.006818091,2.166337195,2.166337195,0.039890708
COL4A2,0.37995,0.246256293,0.608612662,0.608612662,0.45043054,0.71,0.003155417,2.500943232,2.500943232,0.023814233
COL4A3BP,-0.1469,0.352449139,0.452903547,-0.452903547,0.559690307,-0.095,0.189915424,0.721439762,-0.721439762,0.377425834
COL5A1,0.1871,0.419890878,0.376863561,0.376863561,0.62086383,0.26,0.497901098,0.302856916,0.302856916,0.683672014
COL5A2,0.233605,0.246252987,0.608618492,0.608618492,0.45043054,0.53,0.060574529,1.217709954,1.217709954,0.176355254
COL6A1,0.577,0.637980346,0.1951927,0.1951927,0.790318079,0.31,0.313314566,0.504019414,0.504019414,0.518699872
COL6A2,-0.0225,0.487313144,0.312191874,-0.312191874,0.679210272,0.255,0.230629794,0.63708459,0.63708459,0.428254646
COL6A3,1.135,0.096179709,1.016916542,1.016916542,0.252617985,0.855,0.018084105,1.742702983,1.742702983,0.077529593
COL7A1,-0.10285,0.758021133,0.120318687,-0.120318687,0.86599154,0.15,0.809654859,0.091700074,0.091700074,0.894911145
COL9A2,0.542,0.083639511,1.077588514,1.077588514,0.230636897,0.325,0.79666023,0.098726863,0.098726863,0.887910174
COLEC11,-0.00593,0.894033329,0.04864629,-0.04864629,0.947284395,-0.3,0.255486155,0.592632631,-0.592632631,0.459029641
COLEC12,0.2095,0.585350502,0.232584005,0.232584005,0.756586291,0.62,0.370117765,0.431660069,0.431660069,0.574165196
COLGALT1,0.652719,1.09E-04,3.964269331,3.964269331,0.003217239,0.76,1.38E-05,4.860280198,4.860280198,8.67E-04
COLGALT2,0.4146,7.13E-04,3.146874449,3.146874449,0.010256777,-1.135,0.087548073,1.057753411,-1.057753411,0.226667406
COMMD1,-0.11854,0.078601431,1.104569549,-1.104569549,0.221163313,0.285,0.096116842,1.017200505,1.017200505,0.240853915
COMMD10,-0.0811,0.211622152,0.674438874,-0.674438874,0.412550093,-0.125,0.060545702,1.217916682,-1.217916682,0.176355254
COMMD2,-0.09383,0.490840488,0.309059621,-0.309059621,0.681097463,0.32,0.007277524,2.138016375,2.138016375,0.041871453
COMMD3,-0.0717,0.550128366,0.259535961,-0.259535961,0.7298684,-0.395,0.001156743,2.936763172,-2.936763172,0.01223915
COMMD3-BMI1,-0.0865,0.501470491,0.299754618,-0.299754618,0.690037492,0.18,0.54518866,0.263453186,0.263453186,0.722882899
COMMD4,-0.1397,0.062929114,1.201148386,-1.201148386,0.19089677,-0.04,0.76225065,0.117902197,-0.117902197,0.868310149
COMMD5,-0.0161,0.919689172,0.036358927,-0.036358927,0.961404737,0.28,0.046724322,1.330456988,1.330456988,0.147524125
COMMD6,-0.3595,0.177037306,0.751935209,-0.751935209,0.368759569,0.21,0.073930765,1.131174802,1.131174802,0.202562036
COMMD7,0.04238,0.888631105,0.051278489,0.051278489,0.943489891,0.325,0.004271732,2.369396015,2.369396015,0.029278165
COMMD8,0.05425,0.602415167,0.220104102,0.220104102,0.767148928,-0.19,0.277134588,0.557309268,-0.557309268,0.482603034
COMMD9,0.2132,0.158072683,0.801143174,0.801143174,0.343486772,0.025,0.707395888,0.150337469,0.150337469,0.841141871
COMP,1.087,0.010814154,1.966007465,1.966007465,0.060888412,2.87,0.005463498,2.262529235,2.262529235,0.034287126
COMT,-0.729,0.001092166,2.961711465,-2.961711465,0.013296035,-0.645,4.83E-04,3.316120588,-3.316120588,0.006984361
COMTD1,0.032,1,0,0,1,0.19,0.400750792,0.397125611,0.397125611,0.602379741
