ID,FoldChange.protein,pval.protein,logp.protein,signedlogp.protein,FDR.protein,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
KRI1,0.17265,0.034497028,1.462218317,1.462218317,0.244420451,0.27,0.005274483,2.277820093,2.277820093,0.062555609
KRIT1,-0.0906,0.318496896,0.496894795,-0.496894795,0.657452392,-0.04,0.325671925,0.487219679,-0.487219679,0.595978715
KRR1,0.1249,0.200388346,0.698127539,0.698127539,0.535040695,0.065,0.32078605,0.493784526,0.493784526,0.590809236
KRT1,0.004,0.222120274,0.653411799,0.653411799,0.559894984,-1.135,0.015109821,1.820740683,-1.820740683,0.11190467
KRT10,-0.267,0.415686843,0.381233721,-0.381233721,0.735674757,0.19,0.073971331,1.130936565,1.130936565,0.268662616
KRT13,-1.1095,0.047680639,1.321657937,-1.321657937,0.282708211,-2.445,0.158672689,0.799497819,-0.799497819,0.405367952
KRT14,-0.055,0.594787678,0.225638037,-0.225638037,0.848531106,-0.935,0.12532006,0.901979405,-0.901979405,0.359723254
KRT15,-0.0575,0.326581138,0.486008902,-0.486008902,0.665263056,-0.145,0.323325887,0.490359522,-0.490359522,0.593705032
KRT16,-0.4253,0.102505747,0.989251786,-0.989251786,0.402563549,-1.075,0.272714243,0.564292179,-0.564292179,0.542650841
KRT17,-0.9605,0.005702713,2.243918502,-2.243918502,0.111584502,-1.37,0.082377058,1.084193722,-1.084193722,0.285759964
KRT18,-0.0445,0.854303849,0.068387637,-0.068387637,0.953013305,0.42,0.031238692,1.505307156,1.505307156,0.167495213
KRT19,-0.405,0.205674096,0.686820402,-0.686820402,0.541466556,0.04,0.984160954,0.006933869,0.006933869,0.994460474
KRT2,0.083,0.877970254,0.056520198,0.056520198,0.960195993,1.025,0.246650055,0.607918783,0.607918783,0.516687194
KRT20,-0.1074,0.442142309,0.354437925,-0.354437925,0.752702168,0.845,0.294814348,0.530451384,0.530451384,0.565169431
KRT23,-0.5145,0.037574899,1.425102175,-1.425102175,0.254947364,-0.5,0.010895175,1.962765791,-1.962765791,0.093127203
KRT24,-0.6752,0.013423591,1.872131281,-1.872131281,0.163140988,0.31,0.490826534,0.309071967,0.309071967,0.73020853
KRT25,-1.035,0.19047619,0.720159303,-0.720159303,0.525992983,0,0.512489638,0.290314911,0,0.747008975
KRT27,-0.019,0.267077592,0.573362547,-0.573362547,0.606583006,-0.96,0.315701023,0.500724011,-0.500724011,0.586389294
KRT3,-0.086,0.296107932,0.528549959,-0.528549959,0.637456559,0,0.12512508,0.90265563,0,0.35926527
KRT31,-0.0332,0.575417924,0.240016614,-0.240016614,0.837653469,-0.94,0.147853,0.830169859,-0.830169859,0.389939984
KRT33B,-0.211685,0.069406555,1.158599508,-1.158599508,0.335001474,0,0.143443799,0.843318221,0,0.383369126
KRT34,-1.068,0.016987656,1.769866534,-1.769866534,0.18192575,-1.085,0.160496642,0.79453405,-0.79453405,0.408013348
KRT36,-0.6135,0.006764289,2.169777853,-2.169777853,0.118175322,-0.715,0.008128287,2.090000973,-2.090000973,0.07892487
KRT4,-0.2617,0.591946454,0.227717577,-0.227717577,0.846898687,-0.195,0.830687552,0.080562298,-0.080562298,0.926501091
KRT5,-1.1445,0.003751033,2.425849128,-2.425849128,0.091393234,-1.825,0.006151634,2.211009535,-2.211009535,0.067881185
KRT6A,-0.4615,0.057328596,1.241628693,-1.241628693,0.306362189,-2.03,0.083256778,1.079580398,-1.079580398,0.286893273
KRT6B,-0.449,0.077193103,1.1124215,-1.1124215,0.351989831,-1.99,0.008134655,2.089660885,-2.089660885,0.07892487
KRT7,-0.494,0.122709633,0.911121343,-0.911121343,0.435462254,-0.33,0.27270921,0.564300195,-0.564300195,0.542650841
KRT75,-0.35175,0.031654744,1.499561195,-1.499561195,0.234188306,-0.09,0.916693559,0.03777582,-0.03777582,0.96500359
KRT78,-0.1862,0.682786752,0.165714914,-0.165714914,0.889156095,-0.645,0.359421896,0.444395469,-0.444395469,0.623459313
KRT8,0.0335,0.862098167,0.064443278,0.064443278,0.954623253,0.14,0.259866699,0.58524937,0.58524937,0.529040165
KRT80,-0.0685,0.811709496,0.090599373,-0.090599373,0.939689611,-0.22,0.493395388,0.306804915,-0.306804915,0.731732113
KRT81,-1.679,0.001373239,2.862253727,-2.862253727,0.055342583,0.01,0.487163998,0.312324814,0.312324814,0.727329473
KRT83,-1.261,0.002693434,2.569693627,-2.569693627,0.07778003,-0.15,0.484937529,0.314314205,-0.314314205,0.726393016
KRT84,-0.095065,0.400911456,0.396951533,-0.396951533,0.726152445,0,0.321538125,0.492767525,0,0.591892724
KRT85,-0.846,0.242178201,0.615864952,-0.615864952,0.580924214,-0.33,0.215826641,0.665894948,-0.665894948,0.47895537
KRT86,-0.6565,0.001867343,2.728775859,-2.728775859,0.064773095,0.275,0.807860734,0.0926635,0.0926635,0.914013628
KRT9,-0.1015,0.846522929,0.072361274,-0.072361274,0.951132101,0,0.897256672,0.047083304,0,0.956801528
KRTAP1-1,-1.336,0.028971029,1.53803608,-1.53803608,0.226799852,0,0.010934225,1.96121198,0,0.093430021
KRTAP11-1,-0.7445,0.322416135,0.491583233,-0.491583233,0.662371414,0,0.25738741,0.5894127,0,0.526237851
KRTAP2-1,0.3895,0.866943365,0.062009273,0.062009273,0.95682414,0,0.447054534,0.349639496,0,0.696719397
KRTAP3-1,-0.17071,0.285444947,0.54447764,-0.54447764,0.626248616,-0.39,0.191119369,0.718695296,-0.718695296,0.446763881
KRTAP3-2,-0.03679,0.246292107,0.608549507,-0.608549507,0.585291816,-0.3,0.226830231,0.644299065,-0.644299065,0.492257679
KRTAP4-11,-0.401745,0.2,0.698970004,-0.698970004,0.535040695,0,0.768168009,0.114543784,0,0.894698431
KRTAP4-4,-0.92,0.106107515,0.974253857,-0.974253857,0.409015663,0,0.354231657,0.450712629,0,0.622736791
KRTAP4-9,-0.6561,0.818181818,0.087150176,-0.087150176,0.943618675,0,0.864694504,0.063137301,0,0.941738333
KRTCAP3,0.0775,0.709728533,0.148907735,0.148907735,0.900710958,0.085,0.105647046,0.976142642,0.976142642,0.326866582
KSR1,-0.0675,0.382402637,0.417479121,-0.417479121,0.710337251,-0.22,0.016519113,1.782013278,-1.782013278,0.117353873
KTI12,0.11,0.29046538,0.536905622,0.536905622,0.63185651,0.12,0.127518872,0.894425536,0.894425536,0.36326636
KTN1,-0.0449,0.465663718,0.331927599,-0.331927599,0.765048298,0.04,0.459439766,0.337771418,0.337771418,0.704954998
KXD1,-0.08435,0.626702383,0.202938654,-0.202938654,0.865870387,0.03,0.292617023,0.533700413,0.533700413,0.563307385
KYAT1,-0.2205,0.16463645,0.783474008,-0.783474008,0.494806277,-0.03,0.605682407,0.217755041,-0.217755041,0.800097031
KYAT3,-0.407,0.006436303,2.191363536,-2.191363536,0.116564407,-0.095,0.940649215,0.026572303,-0.026572303,0.975652107
KYNU,4.50E-04,0.924874098,0.033917383,0.033917383,0.975947883,0.02,0.920930265,0.035773254,0.035773254,0.967113964
L1CAM,8.30E-02,0.590500186,0.228779961,0.228779961,0.846898687,0.4,0.157220074,0.803492004,0.803492004,0.403072234
L2HGDH,0.1663,0.225911493,0.646061673,0.646061673,0.564383876,-0.105,0.191708457,0.717358728,-0.717358728,0.446763881
L3HYPDH,-0.1265,0.493413533,0.306788943,-0.306788943,0.782921461,-0.18,0.578277786,0.23786349,-0.23786349,0.78235592
L3MBTL2,0.0143,0.838777225,0.07635337,0.07635337,0.947391408,0.09,0.101369014,0.994094777,0.994094777,0.319325789
L3MBTL3,-0.0803,0.018900049,1.723537077,-1.723537077,0.192973259,-0.625,7.02E-05,4.153514752,-4.153514752,0.005661654
LACC1,-0.15505,0.357844501,0.446305652,-0.446305652,0.690303683,0.05,0.758282949,0.12016871,0.12016871,0.888023757
LACTB,0.23165,0.018900049,1.723537077,1.723537077,0.192973259,0.31,0.005525636,2.25761769,2.25761769,0.064301084
LACTB2,0.042,0.585112479,0.232760639,0.232760639,0.843867767,-0.025,0.731994508,0.135492177,-0.135492177,0.874551656
LAD1,0.7535,0.014817673,1.82922,1.82922,0.169712681,0.855,0.008401626,2.075636645,2.075636645,0.080191742
LAGE3,0.0504,0.496555381,0.304032308,0.304032308,0.784882583,0.255,0.011045163,1.956827885,1.956827885,0.094012603
LAIR1,-0.1324,0.421978044,0.374710145,-0.374710145,0.739875115,-0.06,0.480876679,0.317966285,-0.317966285,0.722970519
LAMA1,0.1445,0.72084337,0.142159092,0.142159092,0.906215895,0.2,0.53500707,0.271640479,0.271640479,0.755088844
LAMA2,-0.8301,0.002903579,2.53706632,-2.53706632,0.079955018,-0.785,0.005044928,2.297144994,-2.297144994,0.061225671
LAMA3,-0.6427,0.063433524,1.197681163,-1.197681163,0.320304934,-0.51,0.212865457,0.671894808,-0.671894808,0.474295682
LAMA4,-0.275,0.07560903,1.121426335,-1.121426335,0.34946667,-0.4,0.068525754,1.16414618,-1.16414618,0.257120541
LAMA5,-0.264,0.070063086,1.154510739,-1.154510739,0.336230672,-0.185,0.4128321,0.384226541,-0.384226541,0.668279903
LAMB1,-0.213,0.094425193,1.024912119,-1.024912119,0.389622043,-0.14,0.270517505,0.567804627,-0.567804627,0.540193779
LAMB2,-0.355,0.031638031,1.499790551,-1.499790551,0.234188306,-0.205,0.029329501,1.53269532,-1.53269532,0.161923674
LAMB3,-0.2233,0.658704934,0.181309084,-0.181309084,0.879040815,0.155,0.548158156,0.261094119,0.261094119,0.763937664
LAMC1,0.0855,0.229736291,0.638770395,0.638770395,0.568382009,0.065,0.762055691,0.118013289,0.118013289,0.890065294
LAMC2,-0.2665,0.21653823,0.664465418,-0.664465418,0.554025624,-0.72,0.023925183,1.621144723,-1.621144723,0.144478265
LAMC3,-0.4352,0.017916053,1.746757673,-1.746757673,0.188109778,-0.705,0.009170628,2.03760093,-2.03760093,0.084538725
LAMP1,0.0265,0.831008136,0.080394724,0.080394724,0.946493626,-0.185,0.005524399,2.257714929,-2.257714929,0.064301084
LAMP2,0.102,1,0,0,1,-0.14,0.292662628,0.533632732,-0.533632732,0.563307385
LAMP5,-0.4835,0.346747505,0.459986655,-0.459986655,0.682616251,-2.635,7.80E-05,4.108051265,-4.108051265,0.00607489
LAMTOR1,0.04615,0.777262897,0.109432063,0.109432063,0.92828325,0.1,0.447543001,0.34916523,0.34916523,0.696719397
LAMTOR2,0.0244,0.379697017,0.420562815,0.420562815,0.707168041,0.26,0.017426947,1.758778679,1.758778679,0.121170899
LAMTOR3,-0.07487,0.858196335,0.066413344,-0.066413344,0.954247918,-0.135,0.343060212,0.464629649,-0.464629649,0.610479789
LAMTOR4,0.04265,0.747003519,0.126677352,0.126677352,0.913310358,0.065,0.558057859,0.253320772,0.253320772,0.770981784
LAMTOR5,-0.02835,0.558126039,0.253267715,-0.253267715,0.825712274,0.15,0.216473122,0.66459602,0.66459602,0.479115219
LANCL1,-0.2812,0.001988709,2.701428723,-2.701428723,0.066207958,-0.125,0.257745838,0.588808338,-0.588808338,0.526237851
LANCL2,-0.1899,0.010290591,1.987559689,-1.987559689,0.144614455,-0.195,0.006626714,2.178701764,-2.178701764,0.07075496
LAP3,0.14335,0.477892001,0.320670239,0.320670239,0.771768944,0.09,0.343113413,0.464562304,0.464562304,0.610479789
LAPTM4A,0.25545,0.435812272,0.360700545,0.360700545,0.748930775,-0.42,7.94E-05,4.099913463,-4.099913463,0.006127527
LAPTM4B,0.039955,0.735883013,0.133191222,0.133191222,0.910826221,-0.87,0.001595763,2.797031507,-2.797031507,0.032189407
LARGE2,-0.1008,0.223812613,0.650115442,-0.650115442,0.561746711,0.2,0.792515412,0.100992283,0.100992283,0.906638378
LARP1,0.08715,0.071615028,1.144995834,1.144995834,0.340765653,0.135,0.144447662,0.840289484,0.840289484,0.384790556
LARP1B,0.198,0.186780421,0.728668651,0.728668651,0.521176595,0.165,0.008769054,2.057047242,2.057047242,0.082450925
LARP4,0.2841,0.00272085,2.565295411,2.565295411,0.07778003,0.085,0.371562658,0.429967939,0.429967939,0.632578915
LARP4B,0.076,0.220251471,0.657081183,0.657081183,0.557521251,-0.005,0.99603935,0.001723504,-0.001723504,0.99960614
LARP6,-0.076,0.311325032,0.506785958,-0.506785958,0.651587576,-0.285,0.233575073,0.631573507,-0.631573507,0.499363378
LARP7,-0.0736,0.27928236,0.553956495,-0.553956495,0.619996063,0,0.398730485,0.399320559,0,0.656237257
LARS,0.11515,0.070835576,1.149748572,1.149748572,0.338861709,0.135,0.011185936,1.951327671,1.951327671,0.094779618
LARS2,0.0575,0.188449476,0.724805066,0.724805066,0.523640031,0.15,0.057278934,1.242005072,1.242005072,0.232424735
LAS1L,-0.12395,0.049949846,1.301465845,-1.301465845,0.288220598,0.18,0.007799554,2.107930236,2.107930236,0.077021143
LASP1,-0.3375,0.040881248,1.388475857,-1.388475857,0.264641894,0.085,0.345648657,0.461365127,0.461365127,0.613250869
LATS1,0.0683,0.591960062,0.227707593,0.227707593,0.846898687,0.12,0.155682117,0.80776127,0.80776127,0.400906323
LBH,-0.071,0.235555879,0.627906052,-0.627906052,0.572239011,-0.405,0.04878758,1.311690723,-1.311690723,0.213983931
LBP,0.0985,0.877725134,0.056641465,0.056641465,0.960195993,0.155,0.889268937,0.050966878,0.050966878,0.952887452
LBR,0.14763,0.295018681,0.530150483,0.530150483,0.63544309,0.315,0.01201701,1.920203589,1.920203589,0.098893988
LCA5,-0.2196,0.192597761,0.715348765,-0.715348765,0.528313204,-0.565,0.031631773,1.49987646,-1.49987646,0.16786993
LCAT,-0.0745,0.424265964,0.372361807,-0.372361807,0.740027551,-0.41,0.001515304,2.819500169,-2.819500169,0.031325832
LCK,0.31874,0.024524682,1.610396623,1.610396623,0.213906757,0.455,0.060629296,1.217317475,1.217317475,0.240266627
LCLAT1,0.014,0.728284965,0.137698656,0.137698656,0.90876842,0.12,0.053488041,1.271743309,1.271743309,0.224249708
LCMT1,-0.13195,0.012902093,1.889339832,-1.889339832,0.159355508,0.015,0.651494451,0.186089279,0.186089279,0.827588803
LCMT2,0.0985,0.384487878,0.415117348,0.415117348,0.712289941,-0.17,0.665879506,0.176604351,-0.176604351,0.836768734
LCN1,-0.5516,0.057142857,1.243038049,-1.243038049,0.306362189,0,0.110044172,0.958432952,0,0.334569572
LCN2,-0.1955,0.340645807,0.467696953,-0.467696953,0.678414494,-0.5,0.18024255,0.744142676,-0.744142676,0.433712316
LCOR,0.22445,0.172315264,0.763676251,0.763676251,0.505257009,0.05,0.88553616,0.0527937,0.0527937,0.951013655
LCP1,-0.168,0.41568929,0.381231165,-0.381231165,0.735674757,-0.415,0.090563156,1.043048451,-1.043048451,0.30054994
LCP2,0.19495,0.022430982,1.64915172,1.64915172,0.20785032,0.3,0.091507647,1.038542611,1.038542611,0.302400767
LDAH,-0.695885,2.40E-04,3.61961131,-3.61961131,0.023831958,-1.395,0.001828093,2.738001628,-2.738001628,0.03482521
LDB1,-0.0285,6.02E-01,0.220199227,-0.220199227,0.852128594,-0.36,0.008519071,2.069607757,-2.069607757,0.081019484
LDB2,-0.297,0.222339394,0.652983583,-0.652983583,0.560291091,-0.875,6.16E-04,3.210586,-3.210586,0.018928977
LDB3,-0.3065,0.125138589,0.902608747,-0.902608747,0.439989553,-0.755,0.009439449,2.025053337,-2.025053337,0.085968617
LDHA,0.5425,4.02E-04,3.395462733,3.395462733,0.029743673,0.58,0.001170656,2.931570637,2.931570637,0.027259328
LDHAL6B,0.421,1.35E-02,1.871195186,1.871195186,0.163140988,-0.01,0.815539919,0.088554776,-0.088554776,0.918572401
LDHB,0.0705,0.827140351,0.082420792,0.082420792,0.946493626,0.185,0.512366952,0.29041889,0.29041889,0.74691108
LDHD,0.3324,0.16016182,0.795441004,0.795441004,0.488479443,0.635,0.211046002,0.675622871,0.675622871,0.472246388
LDLR,0.3425,0.207031289,0.683964014,0.683964014,0.5433532,0.285,0.111089846,0.954325634,0.954325634,0.336102441
LDLRAP1,0.08134,0.477889691,0.320672338,0.320672338,0.771768944,0.135,0.073921297,1.131230423,1.131230423,0.268662616
LECT2,0.0315,0.8078637,0.092661906,0.092661906,0.937769233,0,0.792628678,0.100930219,0,0.906725296
LEF1,-0.5848,0.114514144,0.94114087,-0.94114087,0.420127313,-1.425,0.017206043,1.764319006,-1.764319006,0.12011625
LEFTY1,0.639585,0.064144003,1.192843943,1.192843943,0.321928223,2.4,9.32E-04,3.030602852,3.030602852,0.023985407
LEFTY2,0.2485,0.099405992,1.002587436,1.002587436,0.398058507,-0.135,0.869897816,0.06053176,-0.06053176,0.943517914
LEMD2,-0.053,0.207452754,0.683080796,-0.683080796,0.5433532,-0.01,0.834848451,0.078392354,-0.078392354,0.928134285
LEMD3,-0.02665,0.188449476,0.724805066,-0.724805066,0.523640031,-0.095,0.214631222,0.668307102,-0.668307102,0.476721839
LENG1,0.0815,0.468701486,0.32910367,0.32910367,0.766164218,0.05,0.487070273,0.312408375,0.312408375,0.727329473
LENG8,-0.051,0.097388341,1.011493032,-1.011493032,0.395327343,-0.165,0.180210543,0.744219804,-0.744219804,0.433712316
LENG9,0.1865,0.680388612,0.167242964,0.167242964,0.887329786,0.165,0.7925069,0.100996948,0.100996948,0.906638378
LEO1,0.1049,0.013641422,1.865140354,1.865140354,0.163392228,0.18,9.63E-04,3.016159279,3.016159279,0.024485146
LEP,-0.186,0.686790506,0.163175717,-0.163175717,0.88990854,0.32,0.477857349,0.32070173,0.32070173,0.720385845
LETM1,0.193,0.231669558,0.63513103,0.63513103,0.569615577,0.285,8.35E-04,3.078114205,3.078114205,0.022724541
LETMD1,-0.2429,0.155886473,0.807191568,-0.807191568,0.484518119,-0.195,0.040361615,1.394031461,-1.394031461,0.193037563
LFNG,0.19775,0.189735932,0.721850414,0.721850414,0.525151499,0.3,0.609205947,0.215235866,0.215235866,0.801924026
LGALS1,-0.276,0.178638968,0.7480238,-0.7480238,0.511767549,-0.095,0.640822981,0.193261922,-0.193261922,0.822026779
LGALS3,-0.40905,0.057979344,1.236726699,-1.236726699,0.306788094,-0.025,0.214679349,0.668209731,-0.668209731,0.476721839
LGALS3BP,-0.5654,0.009717958,2.012424987,-2.012424987,0.140600149,-0.34,0.002384893,2.62253116,-2.62253116,0.040464937
LGALS4,0.14475,0.413586414,0.383433736,0.383433736,0.735674757,0.145,0.150055214,0.823748909,0.823748909,0.392700677
LGALS7B,0.01095,0.893402451,0.048952861,0.048952861,0.965744297,0.585,0.231574028,0.635310149,0.635310149,0.497292831
LGALS8,0.0968,0.695004665,0.15801228,0.15801228,0.893555565,-0.045,0.909111701,0.041382752,-0.041382752,0.962039408
LGALS9,-0.1678,0.447657418,0.349054214,-0.349054214,0.75644507,-0.17,0.531719526,0.274317391,-0.274317391,0.752743395
LGALS9B,-0.3111,0.053531922,1.271387164,-1.271387164,0.296131334,0,0.864960084,0.063003934,0,0.941738333
LGALSL,-0.0286,0.637300081,0.195656026,-0.195656026,0.870632964,-0.04,0.285850865,0.543860489,-0.543860489,0.556360367
LGMN,-0.1703,0.127598814,0.894153361,-0.894153361,0.443698851,-0.025,0.827119814,0.082431576,-0.082431576,0.924544113
LHFPL2,-0.09515,0.373178919,0.428082897,-0.428082897,0.702431169,-0.01,1,0,0,1
LHFPL3,0.34225,0.60952381,0.215009325,0.215009325,0.855696076,0.5,0.157215718,0.803504037,0.803504037,0.403072234
LHPP,-0.1875,0.020196265,1.694728934,-1.694728934,0.198276568,-0.14,0.297221892,0.526919206,-0.526919206,0.56774663
LIAS,-0.21435,0.076434197,1.116712291,-1.116712291,0.350160083,0.05,0.702309494,0.153471461,0.153471461,0.858238713
LIF,-0.1275,0.950393967,0.022096329,-0.022096329,0.983134548,-0.035,0.944604567,0.024749959,-0.024749959,0.977664653
LIG1,0.454753,1.69E-05,4.773189872,4.773189872,0.00582966,0.47,2.20E-05,4.657705586,4.657705586,0.003376003
LIG3,-0.019,9.60E-01,0.017539846,-0.017539846,0.986932295,0.225,0.006516792,2.185966148,2.185966148,0.069997405
LIG4,-0.1051,0.804020567,0.094732842,-0.094732842,0.937164345,0,0.564753734,0.248140889,0,0.773770169
LILRA3,-0.14235,0.950819245,0.021902037,-0.021902037,0.983479574,-0.08,0.881536224,0.054759837,-0.054759837,0.94938043
LILRB1,-0.169915,0.696997395,0.156768845,-0.156768845,0.89494531,0.49,0.220186091,0.657210118,0.657210118,0.483539725
LILRB2,-0.2359395,0.61087432,0.214048131,-0.214048131,0.857367467,0.285,0.325735411,0.487135026,0.487135026,0.595978715
LILRB3,0.1511,0.382947198,0.416861104,0.416861104,0.710856097,-0.015,0.97624039,0.010443228,-0.010443228,0.991234632
LILRB4,0.482,0.157442222,0.80287879,0.80287879,0.485635103,0.47,0.092475466,1.033973472,1.033973472,0.304061878
LIMA1,0.03665,0.477887381,0.320674437,0.320674437,0.771768944,0.06,0.427105676,0.369464657,0.369464657,0.679912643
LIMCH1,-0.31035,0.051122898,1.291384537,-1.291384537,0.291058734,0.01,0.762069014,0.118005697,0.118005697,0.890065294
LIMD1,-0.0072,0.747004801,0.126676607,-0.126676607,0.913310358,0.13,0.097277658,1.011986895,1.011986895,0.312947693
LIMD2,0.18245,0.528500264,0.276954791,0.276954791,0.807061143,-0.065,0.968326986,0.013977965,-0.013977965,0.986928781
LIME1,-0.002,0.204906641,0.688443967,-0.688443967,0.541466556,0.03,0.58850528,0.230249637,0.230249637,0.789111409
LIMK1,0.0334,0.819415697,0.086495721,0.086495721,0.943618675,0.19,0.290407153,0.536992691,0.536992691,0.561357628
LIMK2,0.0896,0.487166284,0.312322776,0.312322776,0.779011942,-0.08,0.387789194,0.411404297,-0.411404297,0.646248086
LIMS1,-0.105,0.175456987,0.755829332,-0.755829332,0.507946258,-0.185,0.047092334,1.327049781,-1.327049781,0.210090596
LIMS2,-0.289,0.115656463,0.936830094,-0.936830094,0.421877759,-0.38,0.036656054,1.435854284,-1.435854284,0.183056091
LIN37,0.121235,0.169282316,0.771388409,0.771388409,0.500746805,-0.04,0.952499353,0.021135311,-0.021135311,0.981249221
LIN52,0.0323,0.640063776,0.193776751,0.193776751,0.871921122,0.035,0.746954781,0.126705688,0.126705688,0.882967121
LIN54,0.1405,0.048804159,1.311543165,1.311543165,0.284694543,0.3,2.10E-05,4.67772629,4.67772629,0.003292686
LIN7A,-0.36,0.033242091,1.47831167,-1.47831167,0.238877176,-1.03,0.026514059,1.576523777,-1.576523777,0.153356386
LIN7C,-0.14673,0.147287525,0.831834037,-0.831834037,0.472024593,0.02,0.647903218,0.188489863,0.188489863,0.825658824
LIN9,0.09006,0.64809637,0.188360411,0.188360411,0.875673441,0.165,0.088659297,1.052275716,1.052275716,0.296979834
LIPA,-0.139,0.130100557,0.885720845,-0.885720845,0.446310778,-0.14,0.294975601,0.530213906,-0.530213906,0.565169431
LIPE,0.0589,0.683632328,0.165177409,0.165177409,0.889156095,0.065,0.574891233,0.240414314,0.240414314,0.780398969
LIPG,0.06345,0.585278959,0.232637089,0.232637089,0.843872285,0.285,0.264123785,0.578192487,0.578192487,0.534056253
LIPT1,-0.0375,0.741000189,0.130181681,-0.130181681,0.91252407,-0.12,0.333086295,0.477443236,-0.477443236,0.601900436
LIPT2,-0.07275,0.370496285,0.431216142,-0.431216142,0.699862586,0.05,0.739480338,0.131073369,0.131073369,0.878558499
LITAF,-0.1163,0.438227616,0.358300257,-0.358300257,0.751069691,0.11,0.854290995,0.068394171,0.068394171,0.937477007
LIX1L,-0.0455,0.348241318,0.458119702,-0.458119702,0.682616251,-0.22,0.127552849,0.894309836,-0.894309836,0.36326636
LLGL1,-0.178,0.034922952,1.456889055,-1.456889055,0.24501589,-0.03,0.93669889,0.028399995,-0.028399995,0.974849861
LLGL2,0.215,0.038495793,1.414586728,1.414586728,0.257921814,0.375,2.35E-04,3.628612153,3.628612153,0.010880059
LLPH,0.12415,0.379265638,0.421056503,0.421056503,0.707168041,0.145,0.043859538,1.357935943,1.357935943,0.20233707
LMAN1,-0.0725,0.264138824,0.57816776,-0.57816776,0.602210775,-0.145,0.22965316,0.638927574,-0.638927574,0.495472298
LMAN2,-0.1335,0.374341,0.426732603,-0.426732603,0.702431169,-0.01,0.948538961,0.022944826,-0.022944826,0.97939577
LMAN2L,-0.04155,0.374343507,0.426729695,-0.426729695,0.702431169,-0.12,0.154271761,0.811713563,-0.811713563,0.399184157
LMBRD1,-0.1737,0.049374212,1.306499825,-1.306499825,0.286272107,-0.12,0.170674972,0.767830161,-0.767830161,0.42132585
LMBRD2,-0.0595,0.691339807,0.160308436,-0.160308436,0.892268144,0.065,0.382315214,0.417578419,0.417578419,0.641667205
LMCD1,0.1665,0.564815017,0.248093765,0.248093765,0.829387566,0.09,0.407181579,0.390211878,0.390211878,0.663312892
LMF2,0.212,0.595396546,0.225193689,0.225193689,0.848531106,0.195,0.064830105,1.188223278,1.188223278,0.249041684
LMNA,-0.3625,0.029721638,1.526927266,-1.526927266,0.228241506,0,0.651499576,0.186085863,0,0.827588803
LMNB1,0.299605,5.42E-04,3.266128423,3.266128423,0.035635164,0.86,1.41E-05,4.851823772,4.851823772,0.002790298
LMNB2,-0.238,2.72E-03,2.565340239,-2.565340239,0.07778003,0.615,2.05E-04,3.687868479,3.687868479,0.010144871
LMO2,-0.43445,0.546646027,0.262293804,-0.262293804,0.819113877,-0.91,8.64E-05,4.063258602,-4.063258602,0.006442923
LMO3,-0.823,0.014437543,1.840506715,-1.840506715,0.167319415,-0.8,0.070058675,1.154538079,-1.154538079,0.260418976
LMO4,0.03225,0.644397949,0.19084585,0.19084585,0.873766998,0.115,0.858186026,0.066418561,0.066418561,0.939157354
LMO7,0.1135,0.784881441,0.10519594,0.10519594,0.931158992,0.065,0.706013597,0.151186935,0.151186935,0.859842824
LMOD1,-0.38,0.141809734,0.848293958,-0.848293958,0.464514892,0.065,0.444685381,0.351947147,0.351947147,0.6941194
LMTK2,-0.1315,0.030473784,1.516073618,-1.516073618,0.230888337,-0.02,0.471708353,0.326326434,-0.326326434,0.715575242
LNPEP,-0.10165,0.796350553,0.098895714,-0.098895714,0.934831135,-0.07,0.113331514,0.94564931,-0.94564931,0.34004037
LNPK,0.0068,0.598838233,0.22269048,0.22269048,0.851285752,0.135,0.24338526,0.613705728,0.613705728,0.512412174
LNX1,-0.1254,0.13521389,0.868978694,-0.868978694,0.453831194,-0.155,0.154299878,0.811634418,-0.811634418,0.399184157
LNX2,-0.1431,0.203020625,0.692459839,-0.692459839,0.539242097,0.115,0.29258408,0.533749308,0.533749308,0.563307385
LOC110117498-PIK3R3,0.06455,0.115658374,0.936822919,0.936822919,0.421877759,0,0.240900497,0.618162303,0,0.509669213
LOC391322,-0.057,0.928817293,0.032069707,-0.032069707,0.977126731,-0.42,0.777256069,0.109435878,-0.109435878,0.898592168
LOC441155,0.2107,0.73015873,0.136582718,0.136582718,0.909930667,0.705,0.177025604,0.751963915,0.751963915,0.429762844
LONP1,0.19655,0.154343131,0.811512695,0.811512695,0.481676379,0.515,0.00234616,2.629642298,2.629642298,0.040093584
LONP2,0.082,0.040879131,1.388498345,1.388498345,0.264641894,-0.005,0.694913416,0.158069304,-0.158069304,0.853903677
LONRF2,-0.261,0.027400813,1.562236552,-1.562236552,0.222274633,-1.055,9.77E-05,4.009927886,-4.009927886,0.006777301
LOX,0.2237,0.229738736,0.638765773,0.638765773,0.568382009,0.565,0.085024318,1.070456844,1.070456844,0.290148816
LOXL1,-0.1401,0.288198966,0.540307582,-0.540307582,0.629492086,-0.245,0.126325234,0.898509889,-0.898509889,0.361149297
LOXL2,0.03615,0.333152263,0.477357232,0.477357232,0.669693202,0.01,0.477875831,0.320684934,0.320684934,0.720385845
LOXL3,-0.1225,0.186287366,0.729816599,-0.729816599,0.521001972,0.095,0.558078523,0.253304691,0.253304691,0.770981784
