ID,Gene,FoldChange.acetyl,pval.acetyl,logp.acetyl,signedlogp.acetyl,FDR.acetyl,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
HSPA8-K108,HSPA8,-0.2316,0.286496171,0.542881179,-0.542881179,0.69226679,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K246,HSPA8,0.02537,0.610238479,0.214500411,0.214500411,0.893624434,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K319,HSPA8,-0.0573,0.274711141,0.561123727,-0.561123727,0.681592956,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K328,HSPA8,0.11598,0.820789426,0.085768247,0.085768247,0.974426733,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K526,HSPA8,0.29175,0.83745728,0.077037338,0.077037338,0.977351918,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K550,HSPA8,-0.1571,0.13931956,0.855987904,-0.855987904,0.541745993,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K56,HSPA8,-0.25141,0.067105388,1.173242608,-1.173242608,0.426142354,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K583,HSPA8,-0.16573,0.41119782,0.385949197,-0.385949197,0.791615578,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K589,HSPA8,0.00815,7.32E-01,0.13563839,0.13563839,0.944795696,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K597,HSPA8,-0.0415,0.930290598,0.031381368,-0.031381368,0.989387367,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K601,HSPA8,0.01495,0.888632654,0.051277732,0.051277732,0.983742051,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K71,HSPA8,-0.134,0.285854783,0.543854537,-0.543854537,0.691216081,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA8-K88,HSPA8,0.242175,0.063654683,1.196169643,1.196169643,0.415592479,0.175,0.253127326,0.596660968,0.596660968,0.456231394
HSPA9-K135,HSPA9,-0.2511,0.246257946,0.608609747,-0.608609747,0.656796812,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K138,HSPA9,-0.2895,0.644492351,0.190782232,-0.190782232,0.908294344,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K143,HSPA9,0.286,0.57975822,0.236753085,0.236753085,0.876586813,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K206,HSPA9,0.045582,8.90E-01,0.050555326,0.050555326,0.983742051,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K288,HSPA9,-0.0589,0.699194532,0.155401977,-0.155401977,0.93361126,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K300,HSPA9,0.28392,0.122150226,0.913105725,0.913105725,0.511750095,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K345,HSPA9,0.2862,0.622191672,0.206075806,0.206075806,0.900139933,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K368,HSPA9,-0.167685,0.977656632,0.009813649,-0.009813649,0.99923084,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K600,HSPA9,0.1313,0.662176999,0.179025908,0.179025908,0.914330967,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPA9-K610,HSPA9,-0.0685,0.897490362,0.046970207,-0.046970207,0.983820778,0.255,0.269773358,0.569000941,0.569000941,0.473648853
HSPB1-K112,HSPB1,0.05325,0.979316675,0.009076851,0.009076851,0.999575323,-0.25,0.432899059,0.363613358,-0.363613358,0.630391396
HSPB1-K114,HSPB1,0.11935,0.357069143,0.447247678,0.447247678,0.752572803,-0.25,0.432899059,0.363613358,-0.363613358,0.630391396
HSPB1-K123,HSPB1,0.1583,9.78E-01,0.009813719,0.009813719,0.99923084,-0.25,0.432899059,0.363613358,-0.363613358,0.630391396
HSPB1-K141,HSPB1,-0.20075,0.94025974,0.026752159,-0.026752159,0.99107133,-0.25,0.432899059,0.363613358,-0.363613358,0.630391396
HSPB1-K198,HSPB1,-0.106,0.945486936,0.024344467,-0.024344467,0.993214675,-0.25,0.432899059,0.363613358,-0.363613358,0.630391396
HSPD1-K130,HSPD1,0.1611,0.432923211,0.363589129,0.363589129,0.807608778,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K156,HSPD1,-0.4232,0.851329728,0.069902201,-0.069902201,0.981580746,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K191,HSPD1,0.16405,0.3862795,0.41309834,0.41309834,0.771988209,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K202,HSPD1,0.146,0.324208187,0.489176023,0.489176023,0.725293728,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K218,HSPD1,0.2067,0.147391417,0.831527805,0.831527805,0.558970416,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K233,HSPD1,0.204,0.191629757,0.717537051,0.717537051,0.60086285,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K249,HSPD1,1.034,0.054255097,1.265559452,1.265559452,0.396352921,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K250,HSPD1,0.2071,0.400242915,0.397676347,0.397676347,0.784803399,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K301,HSPD1,0.192557,0.866550154,0.062206296,0.062206296,0.983227298,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K31,HSPD1,0.1575,0.237162313,0.624954322,0.624954322,0.651725737,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K359,HSPD1,0.2045,0.577599732,0.238373017,0.238373017,0.874495539,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K364,HSPD1,0.10515,0.571566652,0.242933118,0.242933118,0.873096038,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K417,HSPD1,-0.36615,0.682279514,0.166037669,-0.166037669,0.925797955,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K473,HSPD1,0.1797,0.683381616,0.165336709,0.165336709,0.925797955,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K82,HSPD1,0.2015,0.148721289,0.827626858,0.827626858,0.561080103,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPD1-K91,HSPD1,0.008,0.650406235,0.186815304,0.186815304,0.909344156,0.785,0.00459062,2.338128647,2.338128647,0.030519271
HSPE1-K66,HSPE1,-0.13385,0.512233286,0.290532203,-0.290532203,0.846796713,0.355,0.163051642,0.787674823,0.787674823,0.34124615
HSPE1-K70,HSPE1,-0.023,0.837034369,0.077256709,-0.077256709,0.977351918,0.355,0.163051642,0.787674823,0.787674823,0.34124615
HSPE1-K80,HSPE1,0.0777,0.817047506,0.087752691,0.087752691,0.974317819,0.355,0.163051642,0.787674823,0.787674823,0.34124615
HSPE1-K86,HSPE1,0.03921,0.827098426,0.082442806,0.082442806,0.974426733,0.355,0.163051642,0.787674823,0.787674823,0.34124615
HSPE1-K99,HSPE1,-0.07785,0.537045799,0.269988676,-0.269988676,0.856675884,0.355,0.163051642,0.787674823,0.787674823,0.34124615
HTATSF1-K661,HTATSF1,-0.324,0.490377667,0.309469317,-0.309469317,0.830605521,0.32,0.038709173,1.412186105,1.412186105,0.129692956
HUWE1-K988,HUWE1,0.30425,0.910257309,0.040835825,0.040835825,0.985845275,0.385,0.001406716,2.851793429,2.851793429,0.013860576
HYPK-K35,HYPK,0.52,0.045098674,1.345836227,1.345836227,0.378355178,-0.245,0.796650485,0.098732175,-0.098732175,0.887910174
IARS2-K189,IARS2,-0.1053,0.917468319,0.037408923,-0.037408923,0.986690993,-0.075,0.796637258,0.098739386,-0.098739386,0.887910174
IARS2-K233,IARS2,0.2335,0.987610142,0.005414459,0.005414459,1,-0.075,0.796637258,0.098739386,-0.098739386,0.887910174
IARS2-K241,IARS2,-0.057,0.471126247,0.3268627,-0.3268627,0.826203149,-0.075,0.796637258,0.098739386,-0.098739386,0.887910174
IARS2-K458,IARS2,0.1022,0.823300478,0.084441632,0.084441632,0.974426733,-0.075,0.796637258,0.098739386,-0.098739386,0.887910174
IARS2-K781,IARS2,0.0714,0.584106315,0.233508099,0.233508099,0.880296299,-0.075,0.796637258,0.098739386,-0.098739386,0.887910174
ICE1-K1218,ICE1,0.667527,0.315779437,0.500616153,0.500616153,0.719744615,0.42,9.85E-06,5.006398903,5.006398903,7.49E-04
ID1-K20,ID1,-0.0389,5.72E-01,0.242931072,-0.242931072,0.873096038,-1.77,6.50E-05,4.187141127,-4.187141127,0.002042477
ID1-K23,ID1,-0.1858,5.75E-01,0.240413905,-0.240413905,0.874495539,-1.77,6.50E-05,4.187141127,-4.187141127,0.002042477
IDE-K899,IDE,-0.222,0.330538877,0.480777453,-0.480777453,0.729583934,-0.315,0.007789342,2.10849921,-2.10849921,0.043806966
IDH1-K115,IDH1,-0.4248,0.083851661,1.076488329,-1.076488329,0.455788723,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K151,IDH1,-0.299,2.41E-01,6.19E-01,-0.61869396,0.655415762,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K224,IDH1,-0.379,0.012092058,1.917499768,-1.917499768,0.244864953,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K236,IDH1,-0.54435,1.71E-03,2.767517287,-2.767517287,0.124305093,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K243,IDH1,-0.141,0.177008257,0.752006473,-0.752006473,0.587782087,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K260,IDH1,-0.16992,0.40760399,0.389761573,-0.389761573,0.790989125,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K381,IDH1,0.0517,0.171215469,0.766457,0.766457,0.580874156,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K406,IDH1,-0.6195,0.008793077,2.055859109,-2.055859109,0.215118194,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K65,IDH1,-0.44395,0.016672174,1.778007757,-1.778007757,0.279122511,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K66,IDH1,-0.3313,0.10685333,0.971211939,-0.971211939,0.484761346,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K81,IDH1,-0.622575,0.005370999,2.269944889,-2.269944889,0.176629155,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH1-K93,IDH1,-0.59275,0.00878462,2.056277033,-2.056277033,0.215118194,-0.64,0.025409705,1.595000384,-1.595000384,0.097539352
IDH2-K106,IDH2,-0.657,0.037698242,1.423678898,-1.423678898,0.358977524,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K133,IDH2,-0.15952,0.710447807,0.148467822,-0.148467822,0.936130008,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K155,IDH2,-0.2585,0.156437587,0.805658891,-0.805658891,0.567435943,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K180,IDH2,-0.03285,0.901924275,0.044829924,-0.044829924,0.985396147,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K193,IDH2,0.03596,1,0,0,1,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K243,IDH2,-0.1781,0.48390022,0.315244181,-0.315244181,0.829440287,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K256,IDH2,0.17075,0.63794184,0.195218913,0.195218913,0.905449371,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K263,IDH2,-0.1721,0.19450321,0.711073226,-0.711073226,0.606410292,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K272,IDH2,-0.0973,0.303740049,0.517497942,-0.517497942,0.709629691,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K275,IDH2,-0.066,0.52350631,0.28107808,-0.28107808,0.849344499,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K280,IDH2,-0.2485,0.295090376,0.530044955,-0.530044955,0.700514893,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K282,IDH2,0.0185,0.686723651,0.163217995,0.163217995,0.926452824,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K384,IDH2,0.1475,0.835094651,0.078264298,0.078264298,0.977351918,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K442,IDH2,-0.4579,0.09465631,1.023850432,-1.023850432,0.469245678,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K48,IDH2,0.09356,0.866677854,0.062142301,0.062142301,0.983227298,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH2-K80,IDH2,-0.273355,2.15E-01,0.668288956,-0.668288956,0.630633972,-0.3,0.020080366,1.697228373,-1.697228373,0.083467911
IDH3A-K177,IDH3A,0.0062,0.676726645,0.169586723,0.169586723,0.924525067,-0.315,0.003040337,2.51707834,-2.51707834,0.023284398
IDH3A-K223,IDH3A,0.0887,0.789576437,0.102605821,0.102605821,0.965270822,-0.315,0.003040337,2.51707834,-2.51707834,0.023284398
IDH3A-K350,IDH3A,-0.42619,0.325515661,0.487428112,-0.487428112,0.726453758,-0.315,0.003040337,2.51707834,-2.51707834,0.023284398
IDH3A-K77,IDH3A,-0.10625,0.773720457,0.11141592,-0.11141592,0.961913893,-0.315,0.003040337,2.51707834,-2.51707834,0.023284398
IDH3B-K135,IDH3B,-0.0849593,0.982623919,0.007612668,-0.007612668,0.999575323,0.715,6.93E-07,6.159105456,6.159105456,2.98E-04
IFI16-K134,IFI16,0.2722,0.443285754,0.353316225,0.353316225,0.810363825,0.26,0.182463328,0.738824409,0.738824409,0.367708228
IFI16-K676,IFI16,0.322727,0.408235443,0.389089293,0.389089293,0.791238491,0.26,0.182463328,0.738824409,0.738824409,0.367708228
IFI30-K125,IFI30,-0.094,1,0,0,1,1.26,1.19E-04,3.924597256,3.924597256,0.002987124
IGF2R-K1285,IGF2R,-0.41405,1.78E-01,0.748937219,-0.748937219,0.589894319,-0.025,0.924126959,0.03426836,-0.03426836,0.960608962
IGLL5-K158,IGLL5,0.0405,0.637983874,0.195190298,0.195190298,0.905449371,1.415,0.110390789,0.957067163,0.957067163,0.263261645
IGLL5-K165,IGLL5,-0.057,0.703256891,0.152886003,-0.152886003,0.934968895,1.415,0.110390789,0.957067163,0.957067163,0.263261645
IGLL5-K173,IGLL5,-0.253,0.633094461,0.198531486,-0.198531486,0.903681921,1.415,0.110390789,0.957067163,0.957067163,0.263261645
IGLL5-K188,IGLL5,0.1857175,0.05106624,1.291866122,1.291866122,0.390252172,1.415,0.110390789,0.957067163,0.957067163,0.263261645
IGLL5-K206,IGLL5,0.0849,0.772230392,0.11225311,0.11225311,0.96090506,1.415,0.110390789,0.957067163,0.957067163,0.263261645
IK-K137,IK,0.11255,0.306725058,0.513250743,0.513250743,0.710987387,-0.205,0.01753338,1.756134354,-1.756134354,0.075876002
IKZF4-K335,IKZF4,0.28095,3.35E-01,4.75E-01,0.474707756,0.73312066,0.165,0.279616781,0.553436769,0.553436769,0.485166816
IL33-K16,IL33,-0.4975,8.27E-02,1.082435558,-1.082435558,0.453363276,-1.23,0.004433163,2.353286279,-2.353286279,0.029888662
IL33-K23,IL33,-0.4465,0.410273694,0.386926328,-0.386926328,0.791615578,-1.23,0.004433163,2.353286279,-2.353286279,0.029888662
ILF2-K186,ILF2,0.39235,0.062610255,1.203354526,1.203354526,0.414694483,0.425,0.016250624,1.789129945,1.789129945,0.071842971
ILF2-K360,ILF2,0.3223,0.013015867,1.885526911,1.885526911,0.251423209,0.425,0.016250624,1.789129945,1.789129945,0.071842971
ILF2-K364,ILF2,0.5685,0.002607928,2.583704439,2.583704439,0.144806353,0.425,0.016250624,1.789129945,1.789129945,0.071842971
ILF3-K119,ILF3,0.56275,0.040066736,1.397216038,1.397216038,0.3640764,0.245,0.046729704,1.330406973,1.330406973,0.147524125
ILF3-K224,ILF3,-0.15591,3.93E-01,0.405443628,-0.405443628,0.778410817,0.245,0.046729704,1.330406973,1.330406973,0.147524125
ILF3-K527,ILF3,0.7078,0.064828739,1.188232429,1.188232429,0.41822007,0.245,0.046729704,1.330406973,1.330406973,0.147524125
ILK-K426,ILK,0.129,0.211622152,0.674438874,0.674438874,0.626569612,-0.42,0.026912353,1.570048322,-1.570048322,0.101616998
ILKAP-K210,ILKAP,-0.10348,0.795005794,0.099629706,-0.099629706,0.966694527,0.405,1.21E-04,3.915913684,3.915913684,0.003036952
ILKAP-K356,ILKAP,0.274,0.316099829,0.500175739,0.500175739,0.719744615,0.405,1.21E-04,3.915913684,3.915913684,0.003036952
IMMT-K451,IMMT,-0.12325,0.635254804,0.197052042,-0.197052042,0.904643711,0.37,3.74E-04,3.426870904,3.426870904,0.00593597
IMPACT-K303,IMPACT,-0.3415,0.483813156,0.315322326,-0.315322326,0.829440287,-0.14,0.686672769,0.163250175,-0.163250175,0.826128768
IMPDH2-K134,IMPDH2,0.14425,0.255590901,0.59245461,0.59245461,0.661114554,0.05,0.480285441,0.318500578,0.318500578,0.669006797
IMPDH2-K436,IMPDH2,0.2697,0.102091477,0.991010514,0.991010514,0.476021196,0.05,0.480285441,0.318500578,0.318500578,0.669006797
IMPDH2-K438,IMPDH2,0.39135,0.06368685,1.195950234,1.195950234,0.415592479,0.05,0.480285441,0.318500578,0.318500578,0.669006797
ING1-K291,ING1,-0.1145,0.552529142,0.257644811,-0.257644811,0.864901235,-0.135,0.379118348,0.421225197,-0.421225197,0.583423762
ING3-K181,ING3,0.026,0.922617513,0.034978306,0.034978306,0.987634181,-0.16,0.096147112,1.017063757,-1.017063757,0.240853915
ING3-K264,ING3,0.0172,0.712060662,0.147483006,0.147483006,0.936130008,-0.16,0.096147112,1.017063757,-1.017063757,0.240853915
ING3-K400,ING3,0.2997,0.098289813,1.007491492,1.007491492,0.470526824,-0.16,0.096147112,1.017063757,-1.017063757,0.240853915
ING4-K112,ING4,0.3479,0.098276989,1.00754816,1.00754816,0.470526824,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K114,ING4,-0.012081,0.78132874,0.1071662,-0.1071662,0.963872943,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K127,ING4,0.097225,0.70743887,0.150311081,0.150311081,0.935131223,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K129,ING4,0.0017,1.00E+00,0,0,1,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K130,ING4,-0.08665,0.536151091,0.270712806,-0.270712806,0.856675884,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K131,ING4,-0.26551,0.557425184,0.253813415,-0.253813415,0.865677572,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K146,ING4,0.061669,0.65812068,0.181694463,0.181694463,0.912619577,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K148,ING4,0.051299,0.571567998,0.242932095,0.242932095,0.873096038,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING4-K156,ING4,0.153675,0.426379647,0.370203534,0.370203534,0.803307142,0.06,0.274655709,0.561211369,0.561211369,0.480254436
ING5-K116,ING5,0.059525,0.52444598,0.280299239,0.280299239,0.850094397,0.15,0.161318788,0.792315049,0.792315049,0.339000573
ING5-K156,ING5,0.399,0.199589696,0.699861883,0.699861883,0.610280646,0.15,0.161318788,0.792315049,0.792315049,0.339000573
INO80D-K261,INO80D,0.1932,0.043157318,1.364945548,1.364945548,0.374192644,-0.09,0.128938993,0.889615727,-0.889615727,0.292453625
INTS1-K100,INTS1,-0.11,0.456897403,0.34018131,-0.34018131,0.816968411,0.095,0.156369449,0.805848093,0.805848093,0.331964571
INTS12-K370,INTS12,0.189,0.698087054,0.156090416,0.156090416,0.93361126,-0.345,3.15E-04,3.501764044,-3.501764044,0.005341836
INTS12-K446,INTS12,-0.374475,0.041977678,1.376981586,-1.376981586,0.369209412,-0.345,3.15E-04,3.501764044,-3.501764044,0.005341836
INTS12-K68,INTS12,0.2758,0.406560748,0.390874553,0.390874553,0.790458482,-0.345,3.15E-04,3.501764044,-3.501764044,0.005341836
INTS12-K98,INTS12,0.0225,0.327588652,0.48467115,0.48467115,0.728126726,-0.345,3.15E-04,3.501764044,-3.501764044,0.005341836
INTS4-K26,INTS4,-0.0728,0.614167655,0.211713059,-0.211713059,0.896587315,0.07,0.476746513,0.321712475,0.321712475,0.666236921
INTS6-K680,INTS6,0.3116,0.409486166,0.387760766,0.387760766,0.791466964,-0.045,1,0,0,1
INTS9-K566,INTS9,0.044,0.776286665,0.109977874,0.109977874,0.962048362,-0.74,0.060542099,1.217942529,-1.217942529,0.176355254
IQGAP1-K1455,IQGAP1,-0.581775,0.327677431,0.48455347,-0.48455347,0.728126726,-0.27,0.040885313,1.388432668,-1.388432668,0.13467099
IQGAP1-K1562,IQGAP1,-0.1197165,5.32E-01,0.273915334,-0.273915334,0.855075837,-0.27,0.040885313,1.388432668,-1.388432668,0.13467099
IRF2BP2-K289,IRF2BP2,-0.0915,7.85E-01,0.105200085,-0.105200085,0.963872943,-0.025,0.678473272,0.168467256,-0.168467256,0.819634656
ISOC1-K279,ISOC1,-0.5768,0.014372609,1.842464388,-1.842464388,0.264326288,-0.91,2.83E-04,3.547570456,-3.547570456,0.005016623
ISOC1-K286,ISOC1,-0.127,0.135716548,0.867367196,-0.867367196,0.534964885,-0.91,2.83E-04,3.547570456,-3.547570456,0.005016623
ISOC2-K26,ISOC2,0.2369,0.090493869,1.043380843,1.043380843,0.463925855,0.33,0.020995746,1.677868697,1.677868697,0.085722134
ITGAV-K233,ITGAV,-0.0053,8.45E-01,7.32E-02,-0.073224763,0.980563103,0.415,0.18244955,0.738857203,0.738857203,0.367708228
ITGB1-K398,ITGB1,0.0266,0.801870988,0.095895499,0.095895499,0.96768117,-0.085,0.466436382,0.331207582,-0.331207582,0.65793616
ITIH1-K418,ITIH1,0.70265,0.825174825,0.08345403,0.08345403,0.974426733,-0.47,0.927657945,0.032612131,-0.032612131,0.962731207
IVD-K149,IVD,-0.519,0.017128471,1.766281397,-1.766281397,0.2836672,-0.265,0.022585764,1.646165219,-1.646165219,0.089917544
IVD-K78,IVD,-0.30505,0.052110234,1.283076978,-1.283076978,0.395064265,-0.265,0.022585764,1.646165219,-1.646165219,0.089917544
JADE1-K380,JADE1,0.2481,0.087555832,1.057714919,1.057714919,0.462278729,0.2,0.072133107,1.141865361,1.141865361,0.199103681
JADE1-K683,JADE1,0.642,0.040159816,1.396208284,1.396208284,0.3640764,0.2,0.072133107,1.141865361,1.141865361,0.199103681
JADE2-K314,JADE2,0.15984,0.566166073,0.247056159,0.247056159,0.87125664,-0.355,0.590735502,0.228606928,-0.228606928,0.761186603
JADE2-K48,JADE2,0.050525,0.534102459,0.272375423,0.272375423,0.856060685,-0.355,0.590735502,0.228606928,-0.228606928,0.761186603
JADE2-K483,JADE2,-0.27705,0.443323507,0.353279239,-0.353279239,0.810363825,-0.355,0.590735502,0.228606928,-0.228606928,0.761186603
JADE2-K54,JADE2,-0.036,0.361227407,0.442219306,-0.442219306,0.754388607,-0.355,0.590735502,0.228606928,-0.228606928,0.761186603
JADE2-K697,JADE2,-0.13305,0.623461462,0.205190387,-0.205190387,0.900139933,-0.355,0.590735502,0.228606928,-0.228606928,0.761186603
JADE3-K30,JADE3,0.6165,4.12E-04,3.385084768,3.385084768,0.070085418,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JADE3-K32,JADE3,0.5852,4.89E-05,4.311052805,4.311052805,0.025404988,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JADE3-K38,JADE3,0.9262,0.005370917,2.269951544,2.269951544,0.176629155,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JADE3-K383,JADE3,0.23875,0.216784597,0.663971578,0.663971578,0.634504949,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JADE3-K389,JADE3,0.90416,0.018844201,1.724822283,1.724822283,0.288318447,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JADE3-K665,JADE3,0.47905,0.017265173,1.76282907,1.76282907,0.284683072,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JADE3-K735,JADE3,0.5492,1.80E-04,3.744842599,3.744842599,0.045053737,0.625,6.80E-05,4.167247438,4.167247438,0.002110326
JAZF1-K195,JAZF1,-0.006,0.423096945,0.373560111,-0.373560111,0.802015733,-0.695,0.016758744,1.775758541,-1.775758541,0.073472579
JMJD1C-K102,JMJD1C,-0.3712,0.857708349,0.066660362,-0.066660362,0.982827461,-0.115,0.053273084,1.273492165,-1.273492165,0.161761232
JMJD1C-K1445,JMJD1C,0.17745,0.541671745,0.266263818,0.266263818,0.859950591,-0.115,0.053273084,1.273492165,-1.273492165,0.161761232
JPT2-K142,JPT2,0.078,1,0,0,1,-0.465,0.067811757,1.168695001,-1.168695001,0.190962942
JUNB-K240,JUNB,-0.0898,0.751498409,0.124071935,-0.124071935,0.955193209,-0.195,0.94640683,0.023922134,-0.023922134,0.972512512
KANSL1L-K693,KANSL1L,0.388,0.36228705,0.44094719,0.44094719,0.754737365,-0.145,0.598471308,0.222956666,-0.222956666,0.767582768
KANSL2-K67,KANSL2,0.249,0.438655328,0.357876591,0.357876591,0.810363825,0.415,0.009639728,2.01593521,2.01593521,0.049968366
KARS-K203,KARS,0.0337,0.633871584,0.197998717,0.197998717,0.903681921,0.16,0.51576463,0.287548444,0.287548444,0.699610413
KAT14-K292,KAT14,0.6412,0.002389651,2.621665444,2.621665444,0.144182837,0.025,0.813960455,0.089396694,0.089396694,0.897105196
KAT5-K137,KAT5,0.16405,0.482107335,0.316856261,0.316856261,0.8291737,0.055,0.699060614,0.155485166,0.155485166,0.834723974
KAT6A-K1101,KAT6A,1.217,2.01E-01,0.697598854,0.697598854,0.612337852,0.21,0.131791967,0.880111061,0.880111061,0.296515406
KAT6A-K350,KAT6A,-0.0903,0.519587541,0.284341271,-0.284341271,0.847684399,0.21,0.131791967,0.880111061,0.880111061,0.296515406
KAT6A-K815,KAT6A,0.419,0.001258161,2.900263919,2.900263919,0.107005486,0.21,0.131791967,0.880111061,0.880111061,0.296515406
KAT6A-K90,KAT6A,0.4516,0.062960783,1.200929882,1.200929882,0.414694483,0.21,0.131791967,0.880111061,0.880111061,0.296515406
KAT6B-K1038,KAT6B,-0.1568515,0.715789885,0.145214443,-0.145214443,0.938034449,0.055,0.901904805,0.044839299,0.044839299,0.947318783
KAT6B-K1042,KAT6B,-0.0748865,0.519466389,0.284442547,-0.284442547,0.847684399,0.055,0.901904805,0.044839299,0.044839299,0.947318783
KAT6B-K1044,KAT6B,-0.478,0.055470805,1.255935532,-1.255935532,0.396352921,0.055,0.901904805,0.044839299,0.044839299,0.947318783
KAT6B-K1199,KAT6B,0.346,0.088364317,1.053723074,1.053723074,0.463752117,0.055,0.901904805,0.044839299,0.044839299,0.947318783
KAT6B-K223,KAT6B,0.2747,1,0,0,1,0.055,0.901904805,0.044839299,0.044839299,0.947318783
KAT7-K171,KAT7,-0.0177,0.682133623,0.166130543,-0.166130543,0.925797955,0.15,0.241644629,0.616822854,0.616822854,0.44251558
KAT7-K277,KAT7,0.5845,0.003647634,2.437988748,2.437988748,0.155497285,0.15,0.241644629,0.616822854,0.616822854,0.44251558
KAT8-K351,KAT8,0.3676,0.008130952,2.089858593,2.089858593,0.210370517,0.09,0.376079742,0.42472006,0.42472006,0.580070431
