service_day,day_of_week,is_special_day,period_code,cycle_label
04-Dec-2019,Monday,0,P2019-3,P2019-4
05-Dec-2019,Tuesday,0,P2019-3,P2019-4
06-Dec-2019,Wednesday,0,P2019-3,P2019-4
07-Dec-2019,Thursday,0,P2019-3,P2019-4
08-Dec-2019,Friday,0,P2019-3,P2019-4
09-Dec-2019,Saturday,0,P2019-3,P2019-4
10-Dec-2019,Sunday,0,P2019-3,P2019-4
11-Dec-2019,Monday,0,P2019-3,P2019-4
12-Dec-2019,Tuesday,0,P2019-3,P2019-4
13-Dec-2019,Wednesday,0,P2019-3,P2019-4
14-Dec-2019,Thursday,0,P2019-3,P2019-4
15-Dec-2019,Friday,0,P2019-3,P2019-4
16-Dec-2019,Saturday,0,P2019-3,P2019-4
17-Dec-2019,Sunday,0,P2019-3,P2019-4
18-Dec-2019,Monday,0,P2019-3,P2019-4
19-Dec-2019,Tuesday,0,P2019-3,P2019-4
20-Dec-2019,Wednesday,0,P2019-3,P2019-4
