venue_code,cuisine_type,location_label,district_code,seating_capacity
V0082,Category-09,Region-078,D174,25
V0436,Category-09,Region-002,D566,28
V0416,Category-09,Region-002,D524,115
V0767,Category-09,Region-033,D744,85
V0250,Category-09,Region-033,D689,85
V0718,Category-09,Region-024,D299,45
V0320,Category-09,Region-024,D835,88
V0468,Category-09,Region-047,D813,119
V0037,Category-09,Region-047,D493,100
V0710,Category-09,Region-047,D606,93
V0756,Category-09,Region-047,D509,74
V0290,Category-09,Region-047,D349,47
V0332,Category-09,Region-045,D251,85
V0761,Category-09,Region-045,D771,96
V0214,Category-09,Region-004,D804,49
V0323,Category-09,Region-004,D105,28
V0794,Category-09,Region-083,D868,10
V0212,Category-09,Region-083,D981,109
V0307,Category-09,Region-083,D888,72
V0136,Category-09,Region-083,D209,88
V0639,Category-09,Region-012,D897,44
V0098,Category-09,Region-012,D535,97
V0375,Category-09,Region-087,D324,83
V0262,Category-09,Region-087,D280,52
V0257,Category-09,Region-087,D923,103
V0609,Category-09,Region-077,D812,88
V0432,Category-09,Region-077,D630,39
V0585,Category-09,Region-014,D575,49
V0331,Category-09,Region-014,D151,34
V0155,Category-09,Region-048,D670,24
V0104,Category-09,Region-048,D355,13
V0328,Category-09,Region-026,D968,17
V0827,Category-09,Region-026,D224,38
V0615,Category-04,Region-001,D567,18
V0553,Category-04,Region-001,D236,115
V0209,Category-04,Region-078,D920,99
V0684,Category-04,Region-078,D575,37
V0456,Category-04,Region-078,D783,91
V0504,Category-04,Region-101,D643,61
V0520,Category-04,Region-101,D672,95
V0312,Category-04,Region-066,D709,64
V0595,Category-04,Region-066,D424,72
V0202,Category-04,Region-031,D873,68
V0139,Category-04,Region-031,D553,68
V0791,Category-04,Region-026,D727,95
V0230,Category-04,Region-026,D934,45
V0763,Category-12,Region-001,D836,98
V0737,Category-12,Region-001,D616,46
V0223,Category-12,Region-001,D536,37
V0654,Category-12,Region-071,D950,102
V0667,Category-12,Region-071,D661,68
V0514,Category-12,Region-071,D556,62
V0021,Category-12,Region-102,D262,14
V0185,Category-12,Region-102,D861,29
V0273,Category-12,Region-075,D982,47
V0130,Category-12,Region-075,D586,117
V0581,Category-12,Region-075,D560,36
V0781,Category-12,Region-080,D365,70
V0377,Category-12,Region-080,D869,40
V0525,Category-12,Region-059,D353,102
V0141,Category-12,Region-059,D960,73
V0316,Category-12,Region-002,D752,62
V0734,Category-12,Region-002,D383,81
V0825,Category-12,Region-038,D884,70
V0548,Category-12,Region-038,D896,119
V0649,Category-12,Region-083,D633,99
V0438,Category-12,Region-083,D596,61
V0783,Category-12,Region-097,D741,116
V0110,Category-12,Region-097,D344,47
V0198,Category-12,Region-042,D381,12
V0410,Category-12,Region-042,D550,18
V0099,Category-12,Region-073,D179,41
V0281,Category-12,Region-073,D830,61
V0683,Category-13,Region-075,D392,72
V0134,Category-13,Region-075,D340,18
V0051,Category-13,Region-075,D378,54
V0106,Category-13,Region-075,D443,45
V0263,Category-13,Region-080,D427,21
V0018,Category-13,Region-080,D653,70
V0384,Category-13,Region-080,D182,24
V0590,Category-13,Region-024,D241,40
V0036,Category-13,Region-024,D254,16
V0434,Category-13,Region-047,D336,85
V0618,Category-13,Region-047,D492,88
V0708,Category-13,Region-047,D810,36
V0757,Category-13,Region-050,D256,117
V0797,Category-13,Region-050,D823,69
V0216,Category-13,Region-045,D319,118
V0773,Category-13,Region-045,D165,90
V0339,Category-06,Region-075,D524,11
V0510,Category-06,Region-075,D517,12
V0376,Category-01,Region-075,D438,92
V0050,Category-01,Region-075,D655,105
V0372,Category-10,Region-024,D577,38
V0655,Category-10,Region-024,D525,32
